row_label_raw,row_label_full,Nội dungItems,Sau kiểm toánAfter audit,Trước kiểm toánBefore audit,Chênh lệch (%)Variance (%),numeric__Sau kiểm toánAfter audit,numeric__Trước kiểm toánBefore audit,numeric__Chênh lệch (%)Variance (%)
2. Lợi nhuận sau thuế (BCTC hợp nhấtNet profit after tax (Consolidated financial statement),2. Lợi nhuận sau thuế (BCTC hợp nhấtNet profit after tax (Consolidated financial statement),2. Lợi nhuận sau thuế (BCTC hợp nhấtNet profit after tax (Consolidated financial statement),"523,442,352,482523,442,352,482","498,425,761,666498,425,761,666",5.02%,,,5.02
2.1. Lợi nhuận sau thuế thuộc về cổ đông Công ty mẹNet profit after tax attributable to shareholders of the parent,2.1. Lợi nhuận sau thuế thuộc về cổ đông Công ty mẹNet profit after tax attributable to shareholders of the parent,2.1. Lợi nhuận sau thuế thuộc về cổ đông Công ty mẹNet profit after tax attributable to shareholders of the parent,"351,512,195,294351,512,195,294","336,462,534,583336,462,534,583",4.47%,,,4.47
2.2. Lợi nhuận sau thuế của cổ đông không kiểm soátNet profit after tax attributable to non-controlling interests,2.2. Lợi nhuận sau thuế của cổ đông không kiểm soátNet profit after tax attributable to non-controlling interests,2.2. Lợi nhuận sau thuế của cổ đông không kiểm soátNet profit after tax attributable to non-controlling interests,"171,930,157,188171,930,157,188","161,963,227,083161,963,227,083",6.15%,,,6.15
