row_label_raw,row_label_full,Ông Trần Thanh Tân,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Lê Đăng Quốc Hùng,Ông Lê Đăng Quốc Hùng,Ông Lê Đăng Quốc Hùng,Thành viên,bổ nhiệm ngày 23 tháng 5 năm 2025,,
Ông Trần Quốc Thịnh,Ông Trần Quốc Thịnh,Ông Trần Quốc Thịnh,Thành viên,từ nhiệm ngày 28 tháng 3 năm 2025,,
