row_label_raw,row_label_full,Bà Phạm Thị Nguyên Thanh(từ nhiệm ngày 31 tháng 3 năm 2025),Năm nay > 1.430.374.862,VNDNăm trước > 1.889.035.000,numeric__Năm nay > 1.430.374.862,numeric__VNDNăm trước > 1.889.035.000
Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,1.127.088.675,971.747.047,1127088675.0,971747047.0
Ông Trần Quốc Thịnh(bổ nhiệm ngày 31 tháng 3 năm 2025),Ông Trần Quốc Thịnh(bổ nhiệm ngày 31 tháng 3 năm 2025),Ông Trần Quốc Thịnh(bổ nhiệm ngày 31 tháng 3 năm 2025),1.114.876.382,-,1114876382.0,
Ông Phạm Anh Khởi(từ nhiệm ngày 19 tháng 7 năm 2024),Ông Phạm Anh Khởi(từ nhiệm ngày 19 tháng 7 năm 2024),Ông Phạm Anh Khởi(từ nhiệm ngày 19 tháng 7 năm 2024),-,129.983.152,,129983152.0
Cách thành viên quản lý khác,Cách thành viên quản lý khác,Cách thành viên quản lý khác,6.772.799.166,4.340.541.347,6772799166.0,4340541347.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.445.139.085,7.331.306.546,10445139085.0,7331306546.0
