row_label_raw,row_label_full,col_0,Nhà xưởngvà quyềnsử dụng đấtVND,Cơ sở hạ tầngVND,TổngVND,numeric__Nhà xưởngvà quyềnsử dụng đấtVND,numeric__Cơ sở hạ tầngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm (Trình bày lại),NGUYÊN GIÁ > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),1.339.810.352.282,5.002.077.889.602,6.341.888.241.884,1339810352282.0,5002077889602.0,6341888241884.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,1.511.837.076.799,1.511.837.076.799,,1511837076799.0,1511837076799.0
Giảm do thay đổi mục đích sử dụng,NGUYÊN GIÁ > Giảm do thay đổi mục đích sử dụng,Giảm do thay đổi mục đích sử dụng,(132.428.750.412),-,(132.428.750.412),-132428750412.0,,-132428750412.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.207.381.601.870,6.513.914.966.401,7.721.296.568.271,1207381601870.0,6513914966401.0,7721296568271.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm (Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),353.812.069.030,3.840.172.373.927,4.193.984.442.957,353812069030.0,3840172373927.0,4193984442957.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,35.344.796.774,1.546.493.335.527,1.581.838.132.301,35344796774.0,1546493335527.0,1581838132301.0
Giảm do thay đổi mục đích sử dụng,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thay đổi mục đích sử dụng,Giảm do thay đổi mục đích sử dụng,(16.011.502.483),-,(16.011.502.483),-16011502483.0,,-16011502483.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,373.145.363.321,5.386.665.709.454,5.759.811.072.775,373145363321.0,5386665709454.0,5759811072775.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm (Trình bày lại),GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm (Trình bày lại),Tại ngày đầu năm (Trình bày lại),985.998.283.252,1.161.905.515.675,2.147.903.798.927,985998283252.0,1161905515675.0,2147903798927.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,834.236.238.549,1.127.249.256.947,1.961.485.495.496,834236238549.0,1127249256947.0,1961485495496.0
