row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thếng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Chênh lệch tỷ giá hồi đoài,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thếng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Chênh lệch tỷ giá hồi đoài,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),4.483.500.000.000,931.929.412.457,22.859.134.442,(2.471.750),(211.681.407.015),285.828.118.736,(1.072.309.916),6.590.730.292,849.965.109.367,663.631.132.845,7.031.547.449.458,4483500000000.0,931929412457.0,22859134442.0,-2471750.0,-211681407015.0,285828118736.0,-1072309916.0,6590730292.0,849965109367.0,663631132845.0,7031547449458.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,600.749.582.247,66.560.236.373,667.309.818.620,,,,,,,,,600749582247.0,66560236373.0,667309818620.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,-,(493.185.000.000),(66.545.147.252),(559.730.147.252),,,,,,,,,-493185000000.0,-66545147252.0,-559730147252.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,-,-,-,90.763.266.358,-,-,(90.763.266.358),-,-,,,,,,90763266358.0,,,-90763266358.0,,
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(61.463.118.098),(16.752.188.676),(78.215.306.774),,,,,,,,,-61463118098.0,-16752188676.0,-78215306774.0
Trả thù lao của Hội đồng Quản trị,Trả thù lao của Hội đồng Quản trị,Trả thù lao của Hội đồng Quản trị,-,-,-,-,-,-,-,-,(1.533.045.127),(1.098.144.874),(2.631.190.001),,,,,,,,,-1533045127.0,-1098144874.0,-2631190001.0
Thay đối do thoái vốn tai Công ty con,Thay đối do thoái vốn tai Công ty con,Thay đối do thoái vốn tai Công ty con,-,-,(718.129.552),-,(139.009.836),(4.022.526.306),-,-,4.879.665.694,21.448.485.244,21.448.485.244,,,-718129552.0,,-139009836.0,-4022526306.0,,,4879665694.0,21448485244.0,21448485244.0
Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,-,-,-,-,-,-,-,-,(5.012.332.610),(4.917.601.043),(9.929.933.653),,,,,,,,,-5012332610.0,-4917601043.0,-9929933653.0
Thay đối do công ty con thay đối vốn góp,Thay đối do công ty con thay đối vốn góp,Thay đối do công ty con thay đối vốn góp,-,(21.006.963),28.421.691,-,-,181.900.455,-,-,227.230.675,1.636.711.353,2.053.257.211,,-21006963.0,28421691.0,,,181900455.0,,,227230675.0,1636711353.0,2053257211.0
Hạch toán phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Hạch toán phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Hạch toán phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,-,-,(17.820.955.138),-,(17.820.955.138),,,,,,,,,-17820955138.0,,-17820955138.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,(1.515.616.362),-,-,-,(1.515.616.362),,,,,,,-1515616362.0,,,,-1515616362.0
Khác,Khác,Khác,-,-,-,-,-,-,-,-,(74.858.734),(8.281.722),(83.140.456),,,,,,,,,-74858734.0,-8281722.0,-83140456.0
Số dư cuối năm trước (Trình bày lại),Số dư cuối năm trước (Trình bày lại),Số dư cuối năm trước (Trình bày lại),4.483.500.000.000,931.908.405.494,22.169.426.581,(2.471.750),(211.820.416.851),372.750.759.243,(2.587.926.278),6.590.730.292,785.969.011.918,663.955.202.248,7.052.432.720.897,4483500000000.0,931908405494.0,22169426581.0,-2471750.0,-211820416851.0,372750759243.0,-2587926278.0,6590730292.0,785969011918.0,663955202248.0,7052432720897.0
