row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
C.,C.,C.,Nợ PHẢI TRẢ,300,,13.640.207.719.539,10.879.072.014.068,,300.0,,13640207719539.0,10879072014068.0
I.,I.,I.,Nợ ngắn hạn,310,,8.551.265.830.717,7.268.843.158.263,,310.0,,8551265830717.0,7268843158263.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,1.304.258.494.888,1.090.144.376.278,,311.0,18.0,1304258494888.0,1090144376278.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,3.373.298.518.911,2.739.268.318.482,,312.0,19.0,3373298518911.0,2739268318482.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,20,267.732.573.028,259.429.235.727,,313.0,20.0,267732573028.0,259429235727.0
4.,4.,4.,Phải trả người lao động,314,,308.450.315.522,247.383.645.371,,314.0,,308450315522.0,247383645371.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,21,945.934.943.098,697.540.315.073,,315.0,21.0,945934943098.0,697540315073.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,22,60.423.647.998,69.014.789.179,,318.0,22.0,60423647998.0,69014789179.0
7.,7.,7.,Phải trả ngắn hạn khác,319,23,541.909.535.491,369.310.784.200,,319.0,23.0,541909535491.0,369310784200.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,24,1.446.965.765.699,1.496.449.046.854,,320.0,24.0,1446965765699.0,1496449046854.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,27,133.449.298.147,151.018.148.889,,321.0,27.0,133449298147.0,151018148889.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,28,168.842.737.935,149.284.498.210,,322.0,28.0,168842737935.0,149284498210.0
II.,II.,II.,Nợ dài hạn,330,,5.088.941.888.822,3.610.228.855.805,,330.0,,5088941888822.0,3610228855805.0
1.,1.,1.,Chi phí phải trả dài hạn,333,21,,629.751.730,,333.0,21.0,,629751730.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,22,2.738.529.046.074,2.787.982.222.221,,336.0,22.0,2738529046074.0,2787982222221.0
3.,3.,3.,Phải trả dài hạn khác,337,23,44.035.726.396,42.121.759.692,,337.0,23.0,44035726396.0,42121759692.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,25,1.742.136.143.923,401.510.415.648,,338.0,25.0,1742136143923.0,401510415648.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,341,26,118.487.197.653,61.124.779.884,,341.0,26.0,118487197653.0,61124779884.0
6.,6.,6.,Dự phòng phải trả dài hạn,342,27,226.161.178.688,186.434.099.947,,342.0,27.0,226161178688.0,186434099947.0
7.,7.,7.,Quỹ phát triển khoa học và công nghệ,343,29,219.592.596.088,130.425.826.683,,343.0,29.0,219592596088.0,130425826683.0
