row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",KhácVND,TổngVND,numeric__Nhà xưởngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__KhácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.451.784.745.130,4.983.711.594.854,257.872.354.997,9.124.344.991,7.559.355.875,8.710.052.395.847,3451784745130.0,4983711594854.0,257872354997.0,9124344991.0,7559355875.0,8710052395847.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,3.134.779.901,18.894.900.336,6.624.347.015,2.354.907.396,214.450.000,31.223.384.648,3134779901.0,18894900336.0,6624347015.0,2354907396.0,214450000.0,31223384648.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,8.182.607.127,22.894.887.467,-,-,32.897.460.714,63.974.955.308,8182607127.0,22894887467.0,,,32897460714.0,63974955308.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,454.332.567.586,1.424.594.977.696,7.128.185.593,184.934.000,142.728.871.176,2.028.969.536.051,454332567586.0,1424594977696.0,7128185593.0,184934000.0,142728871176.0,2028969536051.0
Tăng từ tài sản cố định thuê tài chính,NGUYÊN GIÁ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,16.291.794.833,8.683.461.081,-,-,24.975.255.914,,16291794833.0,8683461081.0,,,24975255914.0
Phân loại lại từ tài sản cố định vô hình,NGUYÊN GIÁ > Phân loại lại từ tài sản cố định vô hình,Phân loại lại từ tài sản cố định vô hình,-,8.866.218.760,-,-,-,8.866.218.760,,8866218760.0,,,,8866218760.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(169.518.808),(15.455.799.932),888.465.146,14.736.853.594,-,-,-169518808.0,-15455799932.0,888465146.0,14736853594.0,,
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,11.381.818,-,-,-,-,11.381.818,11381818.0,,,,,11381818.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(842.533.677),(118.903.807.844),(4.320.286.924),(1.542.036.542),-,(125.608.664.987),-842533677.0,-118903807844.0,-4320286924.0,-1542036542.0,,-125608664987.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(629.881.064),-,(259.627.736),-,(131.093.024),(1.020.601.824),-629881064.0,,-259627736.0,,-131093024.0,-1020601824.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.915.804.148.013,6.340.894.766.170,276.616.899.172,24.859.003.439,183.269.044.741,10.741.443.861.535,3915804148013.0,6340894766170.0,276616899172.0,24859003439.0,183269044741.0,10741443861535.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.717.135.671.770,3.354.255.833.897,193.762.326.948,6.566.994.996,6.677.968.376,5.278.398.795.987,1717135671770.0,3354255833897.0,193762326948.0,6566994996.0,6677968376.0,5278398795987.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,155.845.816.908,286.573.818.138,15.561.199.375,1.579.931.979,11.294.872.281,470.855.638.681,155845816908.0,286573818138.0,15561199375.0,1579931979.0,11294872281.0,470855638681.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,13.356.962.635,101.734.712.498,2.301.959.965,17.683.942,13.380.831.675,130.792.150.715,13356962635.0,101734712498.0,2301959965.0,17683942.0,13380831675.0,130792150715.0
Hao môn tài sản hình thành từ nguồn kinh phí,GIÁ TRỊ HAO MÒN LỦY KẾ > Hao môn tài sản hình thành từ nguồn kinh phí,Hao môn tài sản hình thành từ nguồn kinh phí,2.916.683.517,-,-,-,-,2.916.683.517,2916683517.0,,,,,2916683517.0
Tăng từ tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,9.474.828.167,5.809.900.658,-,-,15.284.728.825,,9474828167.0,5809900658.0,,,15284728825.0
Phân loại lại từ tài sản cố định vô hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại từ tài sản cố định vô hình,Phân loại lại từ tài sản cố định vô hình,-,8.866.218.760,-,-,-,8.866.218.760,,8866218760.0,,,,8866218760.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(10.319.725),(15.275.242.104),759.510.410,14.526.051.419,-,-,-10319725.0,-15275242104.0,759510410.0,14526051419.0,,
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(736.563.039),(41.069.234.373),(3.728.460.175),(1.324.686.542),-,(46.858.944.129),-736563039.0,-41069234373.0,-3728460175.0,-1324686542.0,,-46858944129.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,(629.881.064),-,(88.183.299),(15.495.475),(130.528.824),(864.088.662),-629881064.0,,-88183299.0,-15495475.0,-130528824.0,-864088662.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.887.878.371.002,3.704.560.934.983,214.378.253.882,21.350.480.319,31.223.143.508,5.859.391.183.694,1887878371002.0,3704560934983.0,214378253882.0,21350480319.0,31223143508.0,5859391183694.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.734.649.073.360,1.629.455.760.957,64.110.028.049,2.557.349.995,881.387.499,3.431.653.599.860,1734649073360.0,1629455760957.0,64110028049.0,2557349995.0,881387499.0,3431653599860.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.027.925.777.011,2.636.333.831.187,62.238.645.290,3.508.523.120,152.045.901.233,4.882.052.677.841,2027925777011.0,2636333831187.0,62238645290.0,3508523120.0,152045901233.0,4882052677841.0
