row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáoVND,Trình bày lạiVND,Số sau trình bày lạiVND,Ghi chú,numeric__Mã số,numeric__Số đã báo cáoVND,numeric__Trình bày lạiVND,numeric__Số sau trình bày lạiVND,numeric__Ghi chú
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,71.180.972.178,(40.376.417.536),30.804.554.642,(iii),31.0,71180972178.0,-40376417536.0,30804554642.0,
Chi phí khác,Chi phí khác,Chi phí khác,32,96.862.620.170,(40.376.417.536),56.486.202.634,(iii),32.0,96862620170.0,-40376417536.0,56486202634.0,
