row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáo,Trình bày lại,Số sau trình bày lại,Ghi chú,numeric__Mã số,numeric__Số đã báo cáo,numeric__Trình bày lại,numeric__Số sau trình bày lại,numeric__Ghi chú
,,,,VND,VND,VND,,,,,,
Bắt động sản đầu tư,Bắt động sản đầu tư,Bắt động sản đầu tư,,5.479.474.945.974,(3.331.571.147.047),2.147.903.798.927,(i),,5479474945974.0,-3331571147047.0,2147903798927.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,6.330.952.076.884,10.936.165.000,6.341.888.241.884,,231.0,6330952076884.0,10936165000.0,6341888241884.0,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,(851.477.130.910),(3.342.507.312.047),(4.193.984.442.957),,232.0,-851477130910.0,-3342507312047.0,-4193984442957.0,
Chi phí xây dựng cơ bản đở dang,Chi phí xây dựng cơ bản đở dang,Chi phí xây dựng cơ bản đở dang,242,3.916.084.662.216,(14.456.844.259),3.901.627.817.957,(iii),242.0,3916084662216.0,-14456844259.0,3901627817957.0,
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,235.571.284.318,23.857.951.409,259.429.235.727,(ii),313.0,235571284318.0,23857951409.0,259429235727.0,
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,236.467.019.984,10.916.625.387,247.383.645.371,(iii),314.0,236467019984.0,10916625387.0,247383645371.0,
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,699.070.990.594,(1.530.675.521),697.540.315.073,(iii),315.0,699070990594.0,-1530675521.0,697540315073.0,
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,3.335.688.476.991,(3.335.058.725.261),629.751.730,(i),333.0,3335688476991.0,-3335058725261.0,629751730.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,462.868.018.360,(93.557.234.160),369.310.784.200,(ii),319.0,462868018360.0,-93557234160.0,369310784200.0,
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,1.502.376.066.248,(5.927.019.394),1.496.449.046.854,(iii),320.0,1502376066248.0,-5927019394.0,1496449046854.0,
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,395.583.396.254,5.927.019.394,401.510.415.648,(iii),338.0,395583396254.0,5927019394.0,401510415648.0,
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,169.322.174.276,(18.304.025.387),151.018.148.889,(iii),321.0,169322174276.0,-18304025387.0,151018148889.0,
Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,136.802.573.762,(6.376.747.079),130.425.826.683,(ii),343.0,136802573762.0,-6376747079.0,130425826683.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,711.944.172.612,74.024.839.306,785.969.011.918,(ii),421.0,711944172612.0,74024839306.0,785969011918.0,
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,106.087.693.996,74.024.839.306,180.112.533.302,(ii),,106087693996.0,74024839306.0,180112533302.0,
