row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Giá trị thương hiệu, nhăn hiệu hàng hóa, bàn quyền, bằng sáng chế VND",Phần mềm máy tính VND,"Chi phí đến bù, san lắp mặt bằng VND",Khác VND,Tổng VND,numeric__Quyền sử dụng đất VND,"numeric__Giá trị thương hiệu, nhăn hiệu hàng hóa, bàn quyền, bằng sáng chế VND",numeric__Phần mềm máy tính VND,"numeric__Chi phí đến bù, san lắp mặt bằng VND",numeric__Khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,96.539.538.295,14.344.705.697,15.500.148.282,93.259.704.164,1.602.635.000,221.246.731.438,96539538295.0,14344705697.0,15500148282.0,93259704164.0,1602635000.0,221246731438.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,1.182.000.000,-,-,1.182.000.000,,,1182000000.0,,,1182000000.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,50.000.000,-,-,50.000.000,,,50000000.0,,,50000000.0
Phân loại sang tài sản cố định hữu hình,NGUYÊN GIÁ > Phân loại sang tài sản cố định hữu hình,Phân loại sang tài sản cố định hữu hình,-,(8.866.218.760),-,-,-,(8.866.218.760),,-8866218760.0,,,,-8866218760.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.021.061.000),-,-,(1.021.061.000),,,-1021061000.0,,,-1021061000.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(2.173.000.000),-,-,(85.000.000),(2.258.000.000),,-2173000000.0,,,-85000000.0,-2258000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,96.539.538.295,3.305.486.937,15.711.087.282,93.259.704.164,1.517.635.000,210.333.451.678,96539538295.0,3305486937.0,15711087282.0,93259704164.0,1517635000.0,210333451678.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,17.924.238.996,8.694.599.511,5.586.692.088,16.182.932.063,1.120.058.680,49.508.521.338,17924238996.0,8694599511.0,5586692088.0,16182932063.0,1120058680.0,49508521338.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.080.552.528,2.984.579.662,1.873.950.432,2.186.773.796,172.509.780,8.298.366.198,1080552528.0,2984579662.0,1873950432.0,2186773796.0,172509780.0,8298366198.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,3.570.203,-,-,3.570.203,,,3570203.0,,,3570203.0
Phân loại sang tài sản cố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại sang tài sản cố định hữu hình,Phân loại sang tài sản cố định hữu hình,-,(8.866.218.760),-,-,-,(8.866.218.760),,-8866218760.0,,,,-8866218760.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(330.360.722),-,-,(330.360.722),,,-330360722.0,,,-330360722.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,(2.173.000.000),-,-,(85.000.000),(2.258.000.000),,-2173000000.0,,,-85000000.0,-2258000000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,19.004.791.524,639.960.413,7.133.852.001,18.369.705.859,1.207.568.460,46.355.878.257,19004791524.0,639960413.0,7133852001.0,18369705859.0,1207568460.0,46355878257.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,78.615.299.299,5.650.106.186,9.913.456.194,77.076.772.101,482.576.320,171.738.210.100,78615299299.0,5650106186.0,9913456194.0,77076772101.0,482576320.0,171738210100.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,77.534.746.771,2.665.526.524,8.577.235.281,74.889.998.305,310.066.540,163.977.573.421,77534746771.0,2665526524.0,8577235281.0,74889998305.0,310066540.0,163977573421.0
