row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
Dự án khu công nghiệp Yên Mỹ (i),Dự án khu công nghiệp Yên Mỹ (i),Dự án khu công nghiệp Yên Mỹ (i),913.541.471.939,495.653.170.406,913541471939.0,495653170406.0
Dự án Khu công nghiệp Yên Phong II-C (ii),Dự án Khu công nghiệp Yên Phong II-C (ii),Dự án Khu công nghiệp Yên Phong II-C (ii),929.595.928.553,719.763.313.656,929595928553.0,719763313656.0
Dự án nhà máy gạch Viglacera Eurotile (iii),Dự án nhà máy gạch Viglacera Eurotile (iii),Dự án nhà máy gạch Viglacera Eurotile (iii),644.300.426.930,-,644300426930.0,
Dự án Khu công nghiệp Yên Phong mở rộng (iv),Dự án Khu công nghiệp Yên Phong mở rộng (iv),Dự án Khu công nghiệp Yên Phong mở rộng (iv),476.296.805.332,719.410.295.944,476296805332.0,719410295944.0
Dự án Khu công nghiệp Phú Hà giai đoạn I (v),Dự án Khu công nghiệp Phú Hà giai đoạn I (v),Dự án Khu công nghiệp Phú Hà giai đoạn I (v),399.619.644.653,354.775.818.964,399619644653.0,354775818964.0
Dự án Khu du lịch sinh thái cao cấp Vân Hải (vi),Dự án Khu du lịch sinh thái cao cấp Vân Hải (vi),Dự án Khu du lịch sinh thái cao cấp Vân Hải (vi),299.844.029.223,241.648.449.722,299844029223.0,241648449722.0
Dự án Khu công nghiệp Thuận Thành giai đoạn I (vii),Dự án Khu công nghiệp Thuận Thành giai đoạn I (vii),Dự án Khu công nghiệp Thuận Thành giai đoạn I (vii),288.880.273.973,-,288880273973.0,
Dự án Khu công nghiệp Đông Mai (viii),Dự án Khu công nghiệp Đông Mai (viii),Dự án Khu công nghiệp Đông Mai (viii),237.325.011.098,350.326.001.615,237325011098.0,350326001615.0
Dự án Khu công nghiệp Tiền Hải - Thái Bình (ix),Dự án Khu công nghiệp Tiền Hải - Thái Bình (ix),Dự án Khu công nghiệp Tiền Hải - Thái Bình (ix),182.107.799.089,315.947.560.027,182107799089.0,315947560027.0
Dự án Khu công nghiệp Vimariel (x),Dự án Khu công nghiệp Vimariel (x),Dự án Khu công nghiệp Vimariel (x),181.624.534.248,148.169.499.197,181624534248.0,148169499197.0
"Dự án Khu công nghiệp Phong Điền - Viglacera, Huế (xi)","Dự án Khu công nghiệp Phong Điền - Viglacera, Huế (xi)","Dự án Khu công nghiệp Phong Điền - Viglacera, Huế (xi)",142.011.470.535,87.951.301.398,142011470535.0,87951301398.0
Dự án Khu công nghiệp Hải Yên,Dự án Khu công nghiệp Hải Yên,Dự án Khu công nghiệp Hải Yên,91.164.951.985,51.707.528.440,91164951985.0,51707528440.0
Dự án Khu công nghiệp và đô thị Yên Phong,Dự án Khu công nghiệp và đô thị Yên Phong,Dự án Khu công nghiệp và đô thị Yên Phong,46.431.727.504,111.047.671.266,46431727504.0,111047671266.0
Dự án Trạm xử lý nước thải KCN Tiên Sơn (Giai đoạn III),Dự án Trạm xử lý nước thải KCN Tiên Sơn (Giai đoạn III),Dự án Trạm xử lý nước thải KCN Tiên Sơn (Giai đoạn III),43.821.786.892,35.602.033.518,43821786892.0,35602033518.0
Dự án đầu tư xây dựng Trạm xử lý nước thải KCN Tiền Hải (giai đoạn I),Dự án đầu tư xây dựng Trạm xử lý nước thải KCN Tiền Hải (giai đoạn I),Dự án đầu tư xây dựng Trạm xử lý nước thải KCN Tiền Hải (giai đoạn I),47.034.148.374,35.719.069.272,47034148374.0,35719069272.0
Dự án Trạm xử lý nước thải KCN Đồng Văn,Dự án Trạm xử lý nước thải KCN Đồng Văn,Dự án Trạm xử lý nước thải KCN Đồng Văn,42.551.278.830,-,42551278830.0,
Dự án Đầu tư xây dựng Tuyên đường phía Bắc (Tuyến số 1),Dự án Đầu tư xây dựng Tuyên đường phía Bắc (Tuyến số 1),Dự án Đầu tư xây dựng Tuyên đường phía Bắc (Tuyến số 1),38.777.444.525,38.122.971.091,38777444525.0,38122971091.0
Các công trình khác,Các công trình khác,Các công trình khác,200.855.831.769,195.783.133.441,200855831769.0,195783133441.0
,,,5.205.784.565.452,3.901.627.817.957,5205784565452.0,3901627817957.0
