row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,Số cuối năm > VND Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu_1,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu_1,numeric__Số đầu năm > VND Giá trị hợp lý
- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,412.967.020.560,503.567.077.112,,717.761.348.703,715.114.594.787,,412967020560.0,503567077112.0,,717761348703.0,715114594787.0,
Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,286.821.000.000,374.921.700.526,,286.821.000.000,282.692.012.921,,286821000000.0,374921700526.0,,286821000000.0,282692012921.0,
Công ty TNHH Kính nổi siêu trắng Phú Mỹ (i),Công ty TNHH Kính nổi siêu trắng Phú Mỹ (i),Công ty TNHH Kính nổi siêu trắng Phú Mỹ (i),-,-,,310.100.000.000,310.100.000.000,,,,,310100000000.0,310100000000.0,
Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),126.146.020.560,128.645.376.586,,120.840.348.703,122.322.581.866,,126146020560.0,128645376586.0,,120840348703.0,122322581866.0,
- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,80.247.792.337,106.417.176.408,,80.247.792.337,96.866.267.576,,80247792337.0,106417176408.0,,80247792337.0,96866267576.0,
Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),4.837.506.400,8.054.298.475,7.680.164.800,4.837.506.400,9.754.073.018,14.213.292.000,4837506400.0,8054298475.0,7680164800.0,4837506400.0,9754073018.0,14213292000.0
Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),2.002.000.000,-,4.680.000.000,2.002.000.000,-,14.300.000.000,2002000000.0,,4680000000.0,2002000000.0,,14300000000.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),6.789.858.320,7.291.280.662,,6.789.858.320,7.197.138.065,,6789858320.0,7291280662.0,,6789858320.0,7197138065.0,
Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),3.482.862.617,1.671.691.277,,3.482.862.617,2.312.229.687,,3482862617.0,1671691277.0,,3482862617.0,2312229687.0,
Công ty Cổ phần Viglacera Hạ Long II (i),Công ty Cổ phần Viglacera Hạ Long II (i),Công ty Cổ phần Viglacera Hạ Long II (i),22.000.000.000,23.145.345.411,,22.000.000.000,23.546.573.513,,22000000000.0,23145345411.0,,22000000000.0,23546573513.0,
Công ty Cổ phần Viglacera Đông Triều (ii),Công ty Cổ phần Viglacera Đông Triều (ii),Công ty Cổ phần Viglacera Đông Triều (ii),40.000.000.000,65.201.972.839,48.400.000.000,40.000.000.000,53.003.665.549,50.000.000.000,40000000000.0,65201972839.0,48400000000.0,40000000000.0,53003665549.0,50000000000.0
Công ty Cổ phần Vinafacade (i),Công ty Cổ phần Vinafacade (i),Công ty Cổ phần Vinafacade (i),909.380.000,826.402.744,,909.380.000,826.402.744,,909380000.0,826402744.0,,909380000.0,826402744.0,
Công ty Magno GMBH (i),Công ty Magno GMBH (i),Công ty Magno GMBH (i),226.185.000,226.185.000,,226.185.000,226.185.000,,226185000.0,226185000.0,,226185000.0,226185000.0,
,,,493.214.812.897,609.984.253.520,,798.009.141.040,811.980.862.363,,493214812897.0,609984253520.0,,798009141040.0,811980862363.0,
