row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
China Triumph International Engineering Co. Ltd,China Triumph International Engineering Co. Ltd,China Triumph International Engineering Co. Ltd,63.243.332.075,63.243.332.075,-,-,63243332075.0,63243332075.0,,
Công ty TNHH Công nghiệp Gốm Bạch Mã (Việt Nam),Công ty TNHH Công nghiệp Gốm Bạch Mã (Việt Nam),Công ty TNHH Công nghiệp Gốm Bạch Mã (Việt Nam),50.315.230.694,50.315.230.694,-,-,50315230694.0,50315230694.0,,
Công ty TNHH Đầu tư Xây dựng UNICONS,Công ty TNHH Đầu tư Xây dựng UNICONS,Công ty TNHH Đầu tư Xây dựng UNICONS,46.362.981.159,46.362.981.159,-,-,46362981159.0,46362981159.0,,
Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,42.790.413.623,42.790.413.623,20.717.376.256,20.717.376.256,42790413623.0,42790413623.0,20717376256.0,20717376256.0
Công ty Cố phần Đầu tư và Khai thác Ninh Giang,Công ty Cố phần Đầu tư và Khai thác Ninh Giang,Công ty Cố phần Đầu tư và Khai thác Ninh Giang,36.264.155.224,36.264.155.224,97.630.066.453,97.630.066.453,36264155224.0,36264155224.0,97630066453.0,97630066453.0
Công ty Cố phần Đầu tư Xây dựng Phát triển Năng lượng Việt Nam,Công ty Cố phần Đầu tư Xây dựng Phát triển Năng lượng Việt Nam,Công ty Cố phần Đầu tư Xây dựng Phát triển Năng lượng Việt Nam,33.676.493.400,33.676.493.400,-,-,33676493400.0,33676493400.0,,
Chi nhánh Xăng dầu Bắc Ninh (Petrolimex Bắc Ninh),Chi nhánh Xăng dầu Bắc Ninh (Petrolimex Bắc Ninh),Chi nhánh Xăng dầu Bắc Ninh (Petrolimex Bắc Ninh),27.812.047.586,27.812.047.586,28.312.047.586,28.312.047.586,27812047586.0,27812047586.0,28312047586.0,28312047586.0
Công ty TNHH Xây dựng Tiên Du,Công ty TNHH Xây dựng Tiên Du,Công ty TNHH Xây dựng Tiên Du,18.538.553.540,18.538.553.540,39.892.118.042,39.892.118.042,18538553540.0,18538553540.0,39892118042.0,39892118042.0
Công ty TNHH Xây dựng và Thương mại Nam Thịnh,Công ty TNHH Xây dựng và Thương mại Nam Thịnh,Công ty TNHH Xây dựng và Thương mại Nam Thịnh,14.772.033.391,14.772.033.391,-,-,14772033391.0,14772033391.0,,
Công ty TNHH Đầu tư xây dựng và Công nghệ môi trường Dương Nhật,Công ty TNHH Đầu tư xây dựng và Công nghệ môi trường Dương Nhật,Công ty TNHH Đầu tư xây dựng và Công nghệ môi trường Dương Nhật,-,-,18.577.904.000,18.577.904.000,,,18577904000.0,18577904000.0
Công ty TNHH Ecoba Công nghệ Môi trường,Công ty TNHH Ecoba Công nghệ Môi trường,Công ty TNHH Ecoba Công nghệ Môi trường,-,-,17.746.855.733,17.746.855.733,,,17746855733.0,17746855733.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,970.483.254.196,970.483.254.196,887.985.384.464,887.985.384.464,970483254196.0,970483254196.0,887985384464.0,887985384464.0
,,,1.304.258.494.888,1.304.258.494.888,1.090.144.376.278,1.090.144.376.278,1304258494888.0,1304258494888.0,1090144376278.0,1090144376278.0
Trong đó: Phải trả người bán là các bên liên quan(Chi tiết tại Thuyết minh số 43),Trong đó: Phải trả người bán là các bên liên quan(Chi tiết tại Thuyết minh số 43),Trong đó: Phải trả người bán là các bên liên quan(Chi tiết tại Thuyết minh số 43),12.759.048.250,12.759.048.250,17.325.471.727,17.325.471.727,12759048250.0,12759048250.0,17325471727.0,17325471727.0
