row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > VND Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > VND Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > VND Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VND Giá trị có thể thu hồi
Empresa Exportadora e Importadora de la Construction,Empresa Exportadora e Importadora de la Construction,Empresa Exportadora e Importadora de la Construction,64.153.909.245,24.117.564.703,64.153.909.245,43.547.380.812,64153909245.0,24117564703.0,64153909245.0,43547380812.0
UBND huyện Hoành Bờ,UBND huyện Hoành Bờ,UBND huyện Hoành Bờ,33.642.634.419,16.888.000.000,33.642.634.419,20.969.484.120,33642634419.0,16888000000.0,33642634419.0,20969484120.0
Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,6.276.862.862,-,7.540.416.824,-,6276862862.0,,7540416824.0,
Công ty Cổ phần Giấy Tây Đô,Công ty Cổ phần Giấy Tây Đô,Công ty Cổ phần Giấy Tây Đô,6.606.288.707,3.239.400.359,7.315.476.247,6.045.761.655,6606288707.0,3239400359.0,7315476247.0,6045761655.0
Công ty TNHH JUNA,Công ty TNHH JUNA,Công ty TNHH JUNA,5.191.824.617,2.595.912.308,5.191.824.617,5.191.824.617,5191824617.0,2595912308.0,5191824617.0,5191824617.0
Công ty Cổ phần Bá Hiển,Công ty Cổ phần Bá Hiển,Công ty Cổ phần Bá Hiển,4.908.189.208,5.969.700,4.908.189.208,26.385.150,4908189208.0,5969700.0,4908189208.0,26385150.0
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,4.651.792.071,1.301.937.188,6.669.895.407,1.301.937.188,4651792071.0,1301937188.0,6669895407.0,1301937188.0
Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,4.230.000.000,-,4.230.000.000,-,4230000000.0,,4230000000.0,
Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,3.747.725.881,4.422.000,3.747.725.881,7.370.000,3747725881.0,4422000.0,3747725881.0,7370000.0
Công ty TNHH Thanh Hải,Công ty TNHH Thanh Hải,Công ty TNHH Thanh Hải,3.185.308.482,-,3.185.308.482,-,3185308482.0,,3185308482.0,
Công ty Cổ phần Tập đoàn FLC,Công ty Cổ phần Tập đoàn FLC,Công ty Cổ phần Tập đoàn FLC,2.769.083.558,-,2.769.083.558,-,2769083558.0,,2769083558.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,263.668.765.343,54.039.779.320,185.425.232.701,-,263668765343.0,54039779320.0,185425232701.0,
,,,403.032.384.393,102.192.985.578,328.779.696.589,77.090.143.542,403032384393.0,102192985578.0,328779696589.0,77090143542.0
Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,,300.839.398.815,,251.689.553.047,,300839398815.0,,251689553047.0
