row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại) > Giá trị,Số đầu năm(Trình bày lại) > VND Số có khả năng trả nợ,Số đầu năm(Trình bày lại) > Tăng,Trong năm > Tăng do hợp nhất kinh doanh,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm(Trình bày lại) > Giá trị,numeric__Số đầu năm(Trình bày lại) > VND Số có khả năng trả nợ,numeric__Số đầu năm(Trình bày lại) > Tăng,numeric__Trong năm > Tăng do hợp nhất kinh doanh,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.196.258.530.322,1.196.258.530.322,4.891.443.992.640,54.214.015.895,5.142.007.071.440,999.909.467.417,999.909.467.417,1196258530322.0,1196258530322.0,4891443992640.0,54214015895.0,5142007071440.0,999909467417.0,999909467417.0
Nợ dài hạn đến hạn trả (xem Thuyết minh số 25),Nợ dài hạn đến hạn trả (xem Thuyết minh số 25),Nợ dài hạn đến hạn trả (xem Thuyết minh số 25),262.845.483.670,262.845.483.670,237.912.938.901,96.250.000.000,229.775.884.628,367.232.537.943,367.232.537.943,262845483670.0,262845483670.0,237912938901.0,96250000000.0,229775884628.0,367232537943.0,367232537943.0
Nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 25),Nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 25),Nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 25),37.345.032.862,37.345.032.862,94.061.555.216,-,51.582.827.739,79.823.760.339,79.823.760.339,37345032862.0,37345032862.0,94061555216.0,,51582827739.0,79823760339.0,79823760339.0
,,,1.496.449.046.854,1.496.449.046.854,5.223.418.486.757,150.464.015.895,5.423.365.783.807,1.446.965.765.699,1.446.965.765.699,1496449046854.0,1496449046854.0,5223418486757.0,150464015895.0,5423365783807.0,1446965765699.0,1446965765699.0
