row_label_raw,row_label_full,Ông Nguyễn Văn Tuấn,Chủ tịch,numeric__Chủ tịch
Ông Luyện Công Minh,Ông Luyện Công Minh,Ông Luyện Công Minh,Phó Chủ tịch (miễn nhiệm ngày 27 tháng 4 năm 2021),
Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Thành viên,
Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Thành viên,
Bà Đỗ Thị Phương Lan,Bà Đỗ Thị Phương Lan,Bà Đỗ Thị Phương Lan,Thành viên,
Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Thành viên (bố nhiệm ngày 27 tháng 4 năm 2021),
