row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,7.941.499.164.011,6.816.049.249.285,,100.0,,7941499164011.0,6816049249285.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,2.711.467.149.609,1.950.330.301.763,,110.0,5.0,2711467149609.0,1950330301763.0
1.,1.,1.,Tiền,111,,1.479.679.497.853,1.137.490.733.370,,111.0,,1479679497853.0,1137490733370.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.231.787.651.756,812.839.568.393,,112.0,,1231787651756.0,812839568393.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,230.575.012.893,80.875.556.624,,120.0,,230575012893.0,80875556624.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,6,230.575.012.893,80.875.556.624,,123.0,6.0,230575012893.0,80875556624.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,886.379.370.361,1.011.612.879.167,,130.0,,886379370361.0,1011612879167.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,698.538.173.618,819.763.352.235,,131.0,7.0,698538173618.0,819763352235.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,8,256.732.514.983,234.475.212.702,,132.0,8.0,256732514983.0,234475212702.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,,1.448.756.747,1.898.756.747,,135.0,,1448756747.0,1898756747.0
4.,4.,4.,Phải thu ngắn hạn khác,136,9,230.499.323.828,207.134.420.530,,136.0,9.0,230499323828.0,207134420530.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,10,(300.839.398.815),(251.689.553.047),,137.0,10.0,-300839398815.0,-251689553047.0
6.,6.,6.,Tài sán thiếu chờ xử lý,139,,-,30.690.000,,139.0,,,30690000.0
IV.,IV.,IV.,Hàng tồn kho,140,11,3.657.378.928.469,3.415.167.495.785,,140.0,11.0,3657378928469.0,3415167495785.0
1.,1.,1.,Hàng tồn kho,141,,3.775.294.975.614,3.499.733.032.713,,141.0,,3775294975614.0,3499733032713.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(117.916.047.145),(84.565.536.928),,149.0,,-117916047145.0,-84565536928.0
V.,V.,V.,Tài sán ngắn hạn khác,150,,455.698.702.679,358.063.015.946,,150.0,,455698702679.0,358063015946.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,12,100.705.584.370,53.663.717.839,,151.0,12.0,100705584370.0,53663717839.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,335.518.678.053,252.817.544.285,,152.0,,335518678053.0,252817544285.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,20,19.474.440.256,51.581.753.822,,153.0,20.0,19474440256.0,51581753822.0
