row_label_raw,row_label_full,Công ty,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,5 Công ty,5 Công ty,,
Hoạt động kinh doanh bị lỗ,Hoạt động kinh doanh bị lỗ,Hoạt động kinh doanh bị lỗ,4 Công ty,4 Công ty,,
Chưa phát sinh hoạt động kinh doanh,Chưa phát sinh hoạt động kinh doanh,Chưa phát sinh hoạt động kinh doanh,1 Công ty,2 Công ty,,
"Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:",,
,,,Năm nay,Năm trước,,
,,,VND,VND,,
Số dư đầu năm,"Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau: > Số dư đầu năm",Số dư đầu năm,811.980.862.363,783.765.514.678,811980862363.0,783765514678.0
Góp thêm vốn,"Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau: > Góp thêm vốn",Góp thêm vốn,5.305.671.857,23.314.863.402,5305671857.0,23314863402.0
"Phần lãi trong công ty liên doanh, liên kết","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau: > Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết",123.067.824.691,4.273.864.886,123067824691.0,4273864886.0
Cổ tức được chia,"Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau: > Cổ tức được chia",Cổ tức được chia,(4.777.507.369),(2.200.000.000),-4777507369.0,-2200000000.0
Điều chỉnh khác,"Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau: > Điều chỉnh khác",Điều chỉnh khác,5.574.466.709,2.826.619.397,5574466709.0,2826619397.0
Chuyển thành Công ty con,"Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau: > Chuyển thành Công ty con",Chuyển thành Công ty con,(331.167.064.731),-,-331167064731.0,
Số dư cuối năm,"Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau: > Số dư cuối năm",Số dư cuối năm,609.984.253.520,811.980.862.363,609984253520.0,811980862363.0
