row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%)Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết (%)Hoạt động chính
,,,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,
1.,1.,1.,Công ty Cổ phần Kính Đáp Cầu (Trước đây là Công ty Cổ phần Kính Viglacera Đáp Cầu),Bắc Ninh,"86,41%","86,41% Sản xuất và kinh doanh kính",,,0.8641,
2.,2.,2.,Công ty TNHH Kính nổi siêu trắng Phú Mỹ (iii),Vũng Tàu,"65,00%","65,00% Sản xuất các sản phẩm kính nổi siêu trắng",,,0.65,
3.,3.,3.,Công ty Cổ phần Viglacera Vân Hải,Quảng Ninh,"95,02%","95,02% Khai thác và kinh doanh cát, du lịch, dịch vụ",,,0.9501999999999999,
4.,4.,4.,Công ty Cổ phần Khoáng sản Viglacera,Yên Bái,"51,00%","51,00% Khai thác và kinh doanh khoáng sản",,,0.51,
5.,5.,5.,Công ty Cổ phần Việt Trì Viglacera,Phú Thọ,"92,82%","92,82% Sản xuất và kinh doanh sử vệ sinh",,,0.9281999999999999,
6.,6.,6.,Công ty Cổ phần Sử Viglacera Thanh Trì,Hà Nội,"59,96%","59,96% Sản xuất và kinh doanh sử vệ sinh",,,0.5996,
7.,7.,7.,Công ty Cổ phần Thương mại Viglacera (i),Hà Nội,"76,23%","85,95% Kinh doanh vật liệu xây dựng",,,0.7623000000000001,
8.,8.,8.,Công ty Cổ phần Viglacera Thăng Long,Vĩnh Phúc,"51,07%","51,07% Sản xuất và kinh doanh gạch ốp lát",,,0.5107,
9.,9.,9.,Công ty Cổ phần Viglacera Tiên Sơn,Bắc Ninh,"51,00%","51,00% Sản xuất và kinh doanh gạch ốp lát",,,0.51,
10.,10.,10.,Công ty Cổ phần Viglacera Hà Nội,Hà Nội,"51,00%","51,00% Sản xuất và kinh doanh gạch ốp lát",,,0.51,
11.,11.,11.,Công ty Cổ phần Bê tông khí Viglacera,Bắc Ninh,"96,19%","96,19% Sản xuất gạch, panel, bê tông khí chung áp",,,0.9619,
12.,12.,12.,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,"51,00%","51,00% Sản xuất và kinh doanh bao bì, má phanh",,,0.51,
13.,13.,13.,Công ty Cổ phần Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.5047999999999999,
14.,14.,14.,Công ty Cổ phần Từ Liêm (Trước đây Hà Nội là Công ty Cổ phần Viglacera Từ Liêm),Hà Nội,"55,92%","55,92% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.5592,
15.,15.,15.,Công ty Cổ phần 382 Đông Anh (Trước đây là Công ty Cổ phần Viglacera Đông Anh),Hà Nội,"51,00%","51,00% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.51,
16.,16.,16.,Công ty Cổ phần Gốm Xây dựng Hữu Hà Nội Hưng (Trước đây là Công ty Cổ phần Viglacera Hữu Hưng),Hà Nội,"51,00%","51,00% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.51,
17.,17.,17.,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89% Lập dự án, thiết kế các công trình",,,0.7689,
18.,18.,18.,Công ty TNHH CHAO - Viglacera (Trước đây là Công ty Cổ phần CHAO Viglacera),Hà Nội,"100,00%","100,00% Dịch vụ, du lịch, nhà hàng",,,1.0,
19.,19.,19.,Công ty Cổ phần Phát triển Khu công Hưng Yên nghiệp Viglacera Yên Mỹ - Hưng Yên (ii),Hà Nội,"60,00%","60,00% Đầu tư xây dựng và kinh doanh hạ tầng khu công nghiệp",,,0.6,
20.,20.,20.,Công ty ViMariel - CTCP (ii),Cuba,"100,00%","99,90% Kinh doanh hạ tầng khu công nghiệp",,,1.0,
,,,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,
1.,1.,1.,Công ty TNHH MTV Thương mại Viglacera Hạ Long,Quảng Ninh,"50,48%","100,00% Kinh doanh vật liệu xây dựng",,,0.5047999999999999,
2.,2.,2.,Công ty Cổ phần Gạch Clinker Viglacera,Quảng Ninh,"50,44%","99,92% Sản xuất vật liệu xây dựng",,,0.5044,
3.,3.,3.,Công ty Cổ phần Kinh doanh Gạch ốp lát Viglacera,Hà Nội,"51,02%","100,00% Kinh doanh các sản phẩm gạch ốp lát",,,0.5102,
4.,4.,4.,Công ty TNHH MTV Lắp dựng kính Viglacera,Bắc Ninh,"86,41%","100,00% Sản xuất, kinh doanh kính và các vật liệu thủy tinh",,,0.8641,
5.,5.,5.,Công ty Cổ phần Viglacera Can Lộc,Hà Tĩnh,"57,51%","100,00% Sản xuất vật liệu xây dựng.",,,0.5751,
6.,6.,6.,Công ty TNHH Thi công Hạ tầng Viglacera Yên Mỹ,Hưng Yên,"60,00%","100,00% Đầu tư xây dựng",,,0.6,
