row_label_raw,row_label_full,col_0,Số đã báo cáo,Số điều chỉnh so với số đã báo cáo,Số trình bày lại,numeric__Số đã báo cáo,numeric__Số điều chỉnh so với số đã báo cáo,numeric__Số trình bày lại
Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp,Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp,Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp,600.749.582.247,-,600.749.582.247,600749582247.0,,600749582247.0
"Trích quỹ khen thưởng, phúc lợi (VND)","Trích quỹ khen thưởng, phúc lợi (VND)","Trích quỹ khen thưởng, phúc lợi (VND)",-,(61.691.041.856),(61.691.041.856),,-61691041856.0,-61691041856.0
Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),600.749.582.247,(61.691.041.856),539.058.540.391,600749582247.0,-61691041856.0,539058540391.0
Cổ phiếu phổ thông đang lưu hành bình quân trong năm (Cổ phiếu),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (Cổ phiếu),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (Cổ phiếu),448.350.000,-,448.350.000,448350000.0,,448350000.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),1.340,(138),1.202,1340.0,-138.0,1202.0
