row_label_raw,row_label_full,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất_1,Kết quả hoạt động kinh doanh hợp nhất_2,Kết quả hoạt động kinh doanh hợp nhất_3,Kết quả hoạt động kinh doanh hợp nhất_4,Kết quả hoạt động kinh doanh hợp nhất_5,Kết quả hoạt động kinh doanh hợp nhất_6,Kết quả hoạt động kinh doanh hợp nhất_7,Kết quả hoạt động kinh doanh hợp nhất_8,numeric__Kết quả hoạt động kinh doanh hợp nhất_1,numeric__Kết quả hoạt động kinh doanh hợp nhất_2,numeric__Kết quả hoạt động kinh doanh hợp nhất_3,numeric__Kết quả hoạt động kinh doanh hợp nhất_4,numeric__Kết quả hoạt động kinh doanh hợp nhất_5,numeric__Kết quả hoạt động kinh doanh hợp nhất_6,numeric__Kết quả hoạt động kinh doanh hợp nhất_7,numeric__Kết quả hoạt động kinh doanh hợp nhất_8
,,,Nhóm bắt động sản và xây dựng,"Nhóm kính, gương","Nhóm sứ, sen vòi và phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Bộ phận khác,Loại trừ nội bộ,Tổng cộng các bộ phận,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.477.509.028.888,884.778.344.563,1.092.565.714.980,2.736.385.599.515,1.988.639.067.860,253.171.229.474,,9.433.048.985.280,2477509028888.0,884778344563.0,1092565714980.0,2736385599515.0,1988639067860.0,253171229474.0,,9433048985280.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,1.529.210.782.754,16.222.017.794,1.175.266.338.347,2.820.108.062.972,3.335.493.513,69.903.953.900,(5.614.046.649.280),-,1529210782754.0,16222017794.0,1175266338347.0,2820108062972.0,3335493513.0,69903953900.0,-5614046649280.0,
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,4.006.719.811.642,901.000.362.357,2.267.832.053.327,5.556.493.662.487,1.991.974.561.373,323.075.183.374,(5.614.046.649.280),9.433.048.985.280,4006719811642.0,901000362357.0,2267832053327.0,5556493662487.0,1991974561373.0,323075183374.0,-5614046649280.0,9433048985280.0
Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,3.506.429.393.920,775.174.048.003,1.988.784.727.506,4.897.249.134.919,1.648.962.455.731,149.084.999.348,(5.860.317.577.975),7.105.367.181.452,3506429393920.0,775174048003.0,1988784727506.0,4897249134919.0,1648962455731.0,149084999348.0,-5860317577975.0,7105367181452.0
,,,500.290.417.722,125.826.314.354,279.047.325.821,659.244.527.568,343.012.105.642,173.990.184.026,246.270.928.695,2.327.681.803.828,500290417722.0,125826314354.0,279047325821.0,659244527568.0,343012105642.0,173990184026.0,246270928695.0,2327681803828.0
Chi phí không phân bố,Chi phí không phân bố,Chi phí không phân bố,,,,,,,,1.362.019.468.994,,,,,,,,1362019468994.0
Lợi nhuận từ hoạt động kinh doanh Lỗ khác,Lợi nhuận từ hoạt động kinh doanh Lỗ khác,Lợi nhuận từ hoạt động kinh doanh Lỗ khác,,,,,,,,965.662.334.834,,,,,,,,965662334834.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,,,(25.681.647.992),,,,,,,,-25681647992.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,(99.279.634.847),,,,,,,,-99279634847.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,840.701.051.995,,,,,,,,840701051995.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,173.391.233.375,,,,,,,,173391233375.0
,,,,,,,,,,667.309.818.620,,,,,,,,667309818620.0
