row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,14.055.552.058.808,11.161.162.729.958,,200.0,,14055552058808.0,11161162729958.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,287.793.144.415,228.705.228.695,,210.0,,287793144415.0,228705228695.0
1.,1.,1.,Phải thu dài hạn khác,216,9,287.793.144.415,228.705.228.695,,216.0,9.0,287793144415.0,228705228695.0
II.,II.,II.,Tài sản cố định,220,,5.288.544.748.826,3.799.021.723.496,,220.0,,5288544748826.0,3799021723496.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,4.882.052.677.841,3.431.653.599.860,,221.0,13.0,4882052677841.0,3431653599860.0
1.,1.,1.,- Nguyên giá,222,,10.741.443.861.535,8.710.052.395.847,,222.0,,10741443861535.0,8710052395847.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223,,(5.859.391.183.694),(5.278.398.795.987),,223.0,,-5859391183694.0,-5278398795987.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,14,242.514.497.564,195.629.913.536,,224.0,14.0,242514497564.0,195629913536.0
2.,2.,2.,- Nguyên giá,225,,330.502.472.225,263.812.617.171,,225.0,,330502472225.0,263812617171.0
2.,2.,2.,- Giá trị hao mòn lũy kế,226,,(87.987.974.661),(68.182.703.635),,226.0,,-87987974661.0,-68182703635.0
3.,3.,3.,Tài sản cố định vô hình,227,15,163.977.573.421,171.738.210.100,,227.0,15.0,163977573421.0,171738210100.0
3.,3.,3.,- Nguyên giá,228,,210.333.451.678,221.246.731.438,,228.0,,210333451678.0,221246731438.0
3.,3.,3.,- Giá trị hao mòn lũy kế,229,,(46.355.878.257),(49.508.521.338),,229.0,,-46355878257.0,-49508521338.0
III.,III.,III.,Bất động sản đầu tư,230,16,1.961.485.495.496,2.147.903.798.927,,230.0,16.0,1961485495496.0,2147903798927.0
III.,III.,III.,- Nguyên giá,231,,7.721.296.568.271,6.341.888.241.884,,231.0,,7721296568271.0,6341888241884.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(5.759.811.072.775),(4.193.984.442.957),,232.0,,-5759811072775.0,-4193984442957.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,17,5.205.784.565.452,3.901.627.817.957,,240.0,17.0,5205784565452.0,3901627817957.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,,5.205.784.565.452,3.901.627.817.957,,242.0,,5205784565452.0,3901627817957.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,6,618.204.545.661,820.201.154.504,,250.0,6.0,618204545661.0,820201154504.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,,609.984.253.520,811.980.862.363,,252.0,,609984253520.0,811980862363.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,9.332.682.344,9.332.682.344,,253.0,,9332682344.0,9332682344.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(1.214.690.203),(1.214.690.203),,254.0,,-1214690203.0,-1214690203.0
4.,4.,4.,Đầu tư nằm giữ đến ngày đáo hạn,255,,102.300.000,102.300.000,,255.0,,102300000.0,102300000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,693.739.558.958,263.703.006.379,,260.0,,693739558958.0,263703006379.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,693.739.558.958,263.703.006.379,,261.0,12.0,693739558958.0,263703006379.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,21.997.051.222.819,17.977.211.979.243,,270.0,,21997051222819.0,17977211979243.0
