row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,34,11.211.146.418.311,9.455.265.891.661,,1.0,34.0,11211146418311.0,9455265891661.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,34,16.833.049.189,22.216.906.381,,2.0,34.0,16833049189.0,22216906381.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,11.194.313.369.122,9.433.048.985.280,,10.0,,11194313369122.0,9433048985280.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,35,8.321.786.264.280,7.105.367.181.452,,11.0,35.0,8321786264280.0,7105367181452.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.872.527.104.842,2.327.681.803.828,,20.0,,2872527104842.0,2327681803828.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,37,189.895.357.429,95.295.310.222,,21.0,37.0,189895357429.0,95295310222.0
7.,7.,7.,Chi phí tài chính,22,38,205.544.872.403,198.848.809.955,,22.0,38.0,205544872403.0,198848809955.0
,,,- Trong đó: Chi phí lãi vay,23,,160.711.679.097,160.976.347.894,,23.0,,160711679097.0,160976347894.0
8.,8.,8.,"Phần lãi trong công ty liên doanh, liên kết",24,,123.067.824.691,4.273.864.886,,24.0,,123067824691.0,4273864886.0
9.,9.,9.,Chi phí bán hàng,25,39,671.344.970.849,758.237.615.422,,25.0,39.0,671344970849.0,758237615422.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,39,749.025.621.314,603.781.853.572,,26.0,39.0,749025621314.0,603781853572.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,1.559.574.822.396,866.382.699.987,,30.0,,1559574822396.0,866382699987.0
12.,12.,12.,Thu nhập khác,31,,41.106.095.851,30.804.554.642,,31.0,,41106095851.0,30804554642.0
13.,13.,13.,Chi phí khác,32,,59.244.286.050,56.486.202.634,,32.0,,59244286050.0,56486202634.0
14.,14.,14.,(Lỗ) khác (40=31-32),40,,(18.138.190.199),(25.681.647.992),,40.0,,-18138190199.0,-25681647992.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.541.436.632.197,840.701.051.995,,50.0,,1541436632197.0,840701051995.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,40,251.982.368.784,174.987.797.644,,51.0,40.0,251982368784.0,174987797644.0
17.,17.,17.,Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,26,10.377.386.225,(1.596.564.269),,52.0,26.0,10377386225.0,-1596564269.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.279.076.877.188,667.309.818.620,,60.0,,1279076877188.0,667309818620.0
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,1.223.652.102.467,600.749.582.247,,61.0,,1223652102467.0,600749582247.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,55.424.774.721,66.560.236.373,,62.0,,55424774721.0,66560236373.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,41,2.729,1.202,,70.0,41.0,2729.0,1202.0
