row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,Tại ngày 31/12/2020,Tại ngày 01/01/2020,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2020,numeric__Tại ngày 01/01/2020
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,12.057.000.814.033,10.570.287.458.046,300.0,,12057000814033.0,10570287458046.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,3.402.211.583.906,3.254.983.447.362,310.0,,3402211583906.0,3254983447362.0
1. Nợ phải trả người bán ngắn hạn,1. Nợ phải trả người bán ngắn hạn,1. Nợ phải trả người bán ngắn hạn,311,4.14,652.887.785.817,454.863.718.524,311.0,414.0,652887785817.0,454863718524.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,4.15,704.552.324.011,743.765.436.476,312.0,415.0,704552324011.0,743765436476.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,4.16,83.338.723.970,98.226.249.170,313.0,416.0,83338723970.0,98226249170.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,4.17,181.338.637.411,134.501.759.783,314.0,417.0,181338637411.0,134501759783.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,4.18,194.342.442.361,172.088.876.820,315.0,418.0,194342442361.0,172088876820.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,4.19,157.323.609.360,142.476.824.517,318.0,419.0,157323609360.0,142476824517.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,4.20,233.471.678.698,398.001.771.661,319.0,420.0,233471678698.0,398001771661.0
8. Vay ngắn hạn,8. Vay ngắn hạn,8. Vay ngắn hạn,320,4.21,999.632.493.875,944.516.149.081,320.0,421.0,999632493875.0,944516149081.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,,19.931.126.901,16.820.610.396,321.0,,19931126901.0,16820610396.0
"10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi",322,4.22,175.392.761.502,149.722.050.934,322.0,422.0,175392761502.0,149722050934.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,8.654.789.230.127,7.315.304.010.684,330.0,,8654789230127.0,7315304010684.0
1. Người mua trả tiền trước dài hạn,1. Người mua trả tiền trước dài hạn,1. Người mua trả tiền trước dài hạn,332,,12.233.220.218,4.149.220.218,332.0,,12233220218.0,4149220218.0
2. Chi phí phải trả dài hạn,2. Chi phí phải trả dài hạn,2. Chi phí phải trả dài hạn,333,4.18,499.601.140.087,371.367.150.172,333.0,418.0,499601140087.0,371367150172.0
3. Doanh thu chưa thực hiện dài hạn,3. Doanh thu chưa thực hiện dài hạn,3. Doanh thu chưa thực hiện dài hạn,336,4.19,4.146.669.817.711,3.863.630.273.332,336.0,419.0,4146669817711.0,3863630273332.0
4. Phải trả dài hạn khác,4. Phải trả dài hạn khác,4. Phải trả dài hạn khác,337,4.20,248.734.366.239,161.071.153.338,337.0,420.0,248734366239.0,161071153338.0
5. Vay dài hạn,5. Vay dài hạn,5. Vay dài hạn,338,4.21,3.745.052.351.427,2.912.969.631.023,338.0,421.0,3745052351427.0,2912969631023.0
6. Dự phòng phải trả dài hạn,6. Dự phòng phải trả dài hạn,6. Dự phòng phải trả dài hạn,342,,2.498.334.445,2.116.582.601,342.0,,2498334445.0,2116582601.0
