row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2020,Tại ngày 01/01/2020,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2020,numeric__Tại ngày 01/01/2020
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,13.552.302.260.447,11.958.509.647.933,200.0,,13552302260447.0,11958509647933.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,113.446.887.100,110.707.038.255,210.0,,113446887100.0,110707038255.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,,74.540.000,301.531.852,211.0,,74540000.0,301531852.0
2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,212,,200.000.000,200.000.000,212.0,,200000000.0,200000000.0
3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,216,4.5,119.722.965.500,116.983.116.655,216.0,45.0,119722965500.0,116983116655.0
4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,219,4.6,(6.550.618.400),(6.777.610.252),219.0,46.0,-6550618400.0,-6777610252.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,4.624.835.956.186,4.863.913.862.707,220.0,,4624835956186.0,4863913862707.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,4.8,4.261.663.733.844,4.488.122.488.144,221.0,48.0,4261663733844.0,4488122488144.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,8.079.763.129.861,7.882.885.001.103,222.0,,8079763129861.0,7882885001103.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(3.818.099.396.017),(3.394.762.512.959),223.0,,-3818099396017.0,-3394762512959.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,4.9,363.172.222.342,375.791.374.563,227.0,49.0,363172222342.0,375791374563.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,489.761.788.146,492.613.066.974,228.0,,489761788146.0,492613066974.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(126.589.565.804),(116.821.692.411),229.0,,-126589565804.0,-116821692411.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,4.10,2.732.238.312.169,2.577.579.758.109,230.0,410.0,2732238312169.0,2577579758109.0
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,231,,4.275.911.691.064,3.920.791.521.050,231.0,,4275911691064.0,3920791521050.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,232,,(1.543.673.378.895),(1.343.211.762.941),232.0,,-1543673378895.0,-1343211762941.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,4.607.439.323.381,2.857.331.403.328,240.0,,4607439323381.0,2857331403328.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,4.11,43.910.932.084,15.136.477.548,241.0,411.0,43910932084.0,15136477548.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,4.12,4.563.528.391.297,2.842.194.925.780,242.0,412.0,4563528391297.0,2842194925780.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,4.2,533.246.143.808,735.641.143.075,250.0,42.0,533246143808.0,735641143075.0
1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,252,,310.520.402.359,299.649.263.881,252.0,,310520402359.0,299649263881.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,163.512.562.294,154.582.562.294,253.0,,163512562294.0,154582562294.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(786.820.845),(1.590.683.100),254.0,,-786820845.0,-1590683100.0
4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,255,,60.000.000.000,283.000.000.000,255.0,,60000000000.0,283000000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,941.095.637.803,813.336.442.459,260.0,,941095637803.0,813336442459.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,4.13,917.853.154.045,780.090.318.145,261.0,413.0,917853154045.0,780090318145.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,5.9,23.242.483.758,33.246.124.314,262.0,59.0,23242483758.0,33246124314.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,20.492.806.378.083,18.300.403.479.967,270.0,,20492806378083.0,18300403479967.0
