row_label_raw,row_label_full,col_0,Tại ngày 31/12/2020VND > Giá trị,Tại ngày 31/12/2020VND > Dự phòng,Tại ngày 01/01/2020VND > Giá trị,Tại ngày 01/01/2020VND > Dự phòng,numeric__Tại ngày 31/12/2020VND > Giá trị,numeric__Tại ngày 31/12/2020VND > Dự phòng,numeric__Tại ngày 01/01/2020VND > Giá trị,numeric__Tại ngày 01/01/2020VND > Dự phòng
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Phải thu cổ tức từ bên liên quan - Xem thêm mục 8,Ngắn hạn: > Phải thu cổ tức từ bên liên quan - Xem thêm mục 8,Phải thu cổ tức từ bên liên quan - Xem thêm mục 8,1.315.440.000,,-,-,1315440000.0,,,
Dự thu lãi tiền gửi,Ngắn hạn: > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,106.154.102.100,-,70.036.786.932,-,106154102100.0,,70036786932.0,
"Khoản tiền bồi thường về việc Phê duyệt bồi thường, hỗ trợ thuộc dự án CCN Long Phước 1 tại Xã Long Phước, Huyện Long Thành","Ngắn hạn: > Khoản tiền bồi thường về việc Phê duyệt bồi thường, hỗ trợ thuộc dự án CCN Long Phước 1 tại Xã Long Phước, Huyện Long Thành","Khoản tiền bồi thường về việc Phê duyệt bồi thường, hỗ trợ thuộc dự án CCN Long Phước 1 tại Xã Long Phước, Huyện Long Thành",8.755.475.031,-,10.543.080.390,-,8755475031.0,,10543080390.0,
"Kỹ quỹ, ký cược","Ngắn hạn: > Kỹ quỹ, ký cược","Kỹ quỹ, ký cược",39.688.141.608,-,26.853.780.102,-,39688141608.0,,26853780102.0,
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,37.204.097.845,-,43.070.149.542,-,37204097845.0,,43070149542.0,
Cộng,Ngắn hạn: > Cộng,Cộng,193.117.256.584,-,150.503.796.966,-,193117256584.0,,150503796966.0,
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,,,
Đầu tư hợp tác kinh doanh với Công ty ICD Tân CảngLong Bình (*),Dài hạn: > Đầu tư hợp tác kinh doanh với Công ty ICD Tân CảngLong Bình (*),Đầu tư hợp tác kinh doanh với Công ty ICD Tân CảngLong Bình (*),91.470.000.000,-,91.470.000.000,-,91470000000.0,,91470000000.0,
"Ký quỹ, ký cược","Dài hạn: > Ký quỹ, ký cược","Ký quỹ, ký cược",18.096.294.561,-,18.596.684.945,-,18096294561.0,,18596684945.0,
Phải thu khác,Dài hạn: > Phải thu khác,Phải thu khác,10.156.670.939,(6.476.078.400),6.916.431.710,(6.476.078.400),10156670939.0,-6476078400.0,6916431710.0,-6476078400.0
Cộng,Dài hạn: > Cộng,Cộng,119.722.965.500,(6.476.078.400),116.983.116.655,(6.476.078.400),119722965500.0,-6476078400.0,116983116655.0,-6476078400.0
