row_label_raw,row_label_full,Khoản mục,"Chi phí đền bù,giải tỏa > VND",Cơ sở hạ tầng > VND,"Nhà cửa,vật kiến trúc > VND","Phương tiệnvận tải,truyền dẫnVND",BDS đầu tưkhácVND,CộngVND,"numeric__Chi phí đền bù,giải tỏa > VND",numeric__Cơ sở hạ tầng > VND,"numeric__Nhà cửa,vật kiến trúc > VND","numeric__Phương tiệnvận tải,truyền dẫnVND",numeric__BDS đầu tưkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,,,,,,
Tại ngày 01/01/2020,Nguyên giá: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,843.015.033.897,1.302.836.827.923,1.703.753.668.282,67.248.393.618,3.937.597.330,3.920.791.521.050,843015033897.0,1302836827923.0,1703753668282.0,67248393618.0,3937597330.0,3920791521050.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,152.064.125.177,230.214.925.600,4.793.255.793,73.309.091,387.145.615.661,,152064125177.0,230214925600.0,4793255793.0,73309091.0,387145615661.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,518.915.691,761.429.941,-,-,1.280.345.632,,518915691.0,761429941.0,,,1280345632.0
Chuyển sang hàng tồn kho,Nguyên giá: > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,-,(31.995.685.917),-,-,(31.995.685.917),,,-31995685917.0,,,-31995685917.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(1.310.105.362),-,-,-,(1.310.105.362),,-1310105362.0,,,,-1310105362.0
Tại ngày 31/12/2020,Nguyên giá: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,843.015.033.897,1.454.109.763.429,1.902.734.337.906,72.041.649.411,4.010.906.421,4.275.911.691.064,843015033897.0,1454109763429.0,1902734337906.0,72041649411.0,4010906421.0,4275911691064.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,,,,,,,
Tại ngày 01/01/2020,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,322.356.141.140,481.981.891.792,500.200.466.879,35.122.010.528,3.551.252.602,1.343.211.762.941,322356141140.0,481981891792.0,500200466879.0,35122010528.0,3551252602.0,1343211762941.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,12.446.877.400,95.567.046.214,93.078.895.454,4.905.640.851,86.999.273,206.085.459.192,12446877400.0,95567046214.0,93078895454.0,4905640851.0,86999273.0,206085459192.0
Chuyển sang hàng tồn kho,Giá trị hao mòn lũy kế: > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,-,(5.623.843.238),-,-,(5.623.843.238),,,-5623843238.0,,,-5623843238.0
Tại ngày 31/12/2020,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,334.803.018.540,577.548.938.006,587.655.519.095,40.027.651.379,3.638.251.875,1.543.673.378.895,334803018540.0,577548938006.0,587655519095.0,40027651379.0,3638251875.0,1543673378895.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,,,,,,
Tại ngày 01/01/2020,Giá trị còn lại: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,520.658.892.757,820.854.936.131,1.203.553.201.403,32.126.383.090,386.344.728,2.577.579.758.109,520658892757.0,820854936131.0,1203553201403.0,32126383090.0,386344728.0,2577579758109.0
Tại ngày 31/12/2020,Giá trị còn lại: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,508.212.015.357,876.560.825.423,1.315.078.818.811,32.013.998.032,372.654.546,2.732.238.312.169,508212015357.0,876560825423.0,1315078818811.0,32013998032.0,372654546.0,2732238312169.0
