row_label_raw,row_label_full,Ông Trần Ngọc Tông,Trường Ban kiểm soát,numeric__Trường Ban kiểm soát
Bà Phạm Thị Cẩm Hà,Bà Phạm Thị Cẩm Hà,Bà Phạm Thị Cẩm Hà,Kiểm soát viên,
Bà Đặng Lê Bích Phương,Bà Đặng Lê Bích Phương,Bà Đặng Lê Bích Phương,Kiểm soát viên,
