row_label_raw,row_label_full,col_0,Tại ngày31/12/2020VND,Tại ngày01/01/2020VND,numeric__Tại ngày31/12/2020VND,numeric__Tại ngày01/01/2020VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tiền thuê đất tại Khu công nghiệp Biên Hòa 1,Ngắn hạn: > Tiền thuê đất tại Khu công nghiệp Biên Hòa 1,Tiền thuê đất tại Khu công nghiệp Biên Hòa 1,10.062.858.044,20.125.858.044,10062858044.0,20125858044.0
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,764.101.246,1.198.307.878,764101246.0,1198307878.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,11.389.476.111,3.711.330.472,11389476111.0,3711330472.0
Cộng,Ngắn hạn: > Cộng,Cộng,22.216.435.401,25.035.496.394,22216435401.0,25035496394.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Tiền thuê đất trả trước,Dài hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,404.441.446.985,364.520.460.224,404441446985.0,364520460224.0
Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,Dài hạn: > Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thạnh Phú,288.694.402.696,194.060.716.797,288694402696.0,194060716797.0
"Công cụ, dụng cụ","Dài hạn: > Công cụ, dụng cụ","Công cụ, dụng cụ",12.714.106.915,13.624.775.215,12714106915.0,13624775215.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,212.003.197.449,207.884.365.909,212003197449.0,207884365909.0
Cộng,Dài hạn: > Cộng,Cộng,917.853.154.045,780.090.318.145,917853154045.0,780090318145.0
