row_label_raw,row_label_full,col_0,Tại ngày 31/12/2020VND,Tại ngày 31/12/2020VND_1,Tại ngày 01/01/2020VND,Tại ngày 01/01/2020VND_1,numeric__Tại ngày 31/12/2020VND,numeric__Tại ngày 31/12/2020VND_1,numeric__Tại ngày 01/01/2020VND,numeric__Tại ngày 01/01/2020VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",44.644.995.843,-,48.030.539.519,-,44644995843.0,,48030539519.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",4.513.170.936,-,1.670.774.952,-,4513170936.0,,1670774952.0,
Chi phí sản xuất kinh doanh đồ dang,Chi phí sản xuất kinh doanh đồ dang,Chi phí sản xuất kinh doanh đồ dang,379.359.720.542,-,405.937.299.559,-,379359720542.0,,405937299559.0,
"Dự án Khu dân cưXã Lộc An,Huyện Long ThànhCông trình","Dự án Khu dân cưXã Lộc An,Huyện Long ThànhCông trình","Dự án Khu dân cưXã Lộc An,Huyện Long ThànhCông trình",130.258.098.507,-,176.155.874.127,-,130258098507.0,,176155874127.0,
Chung cư D2D,Chung cư D2D,Chung cư D2D,24.915.755.344,-,19.398.890.345,-,24915755344.0,,19398890345.0,
Dự án Khu dân cưTrăng Bom,Dự án Khu dân cưTrăng Bom,Dự án Khu dân cưTrăng Bom,6.380.341.609,-,10.805.562.706,-,6380341609.0,,10805562706.0,
Các dự án khác,Các dự án khác,Các dự án khác,217.805.525.082,-,199.576.972.381,-,217805525082.0,,199576972381.0,
Thành phẩm,Thành phẩm,Thành phẩm,5.460.145.646,-,3.731.937.539,-,5460145646.0,,3731937539.0,
Hàng hóa,Hàng hóa,Hàng hóa,1.936.847.915,-,1.086.701.761,-,1936847915.0,,1086701761.0,
Cộng,Cộng,Cộng,435.914.880.882,-,460.457.253.330,-,435914880882.0,,460457253330.0,
