row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiệnvận tải, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ hữu hìnhkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiệnvận tải, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữu hìnhkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2020,Nguyên giá: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,3.100.167.795.076,1.448.391.218.865,3.203.744.578.309,83.906.676.461,46.674.732.392,7.882.885.001.103,3100167795076.0,1448391218865.0,3203744578309.0,83906676461.0,46674732392.0,7882885001103.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,72.794.377.095,9.615.867.897,62.125.316.898,2.577.093.314,14.152.703.990,161.265.359.194,72794377095.0,9615867897.0,62125316898.0,2577093314.0,14152703990.0,161265359194.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,4.598.160.108,24.480.531.342,8.530.222.955,2.606.226.642,643.424.500,40.858.565.547,4598160108.0,24480531342.0,8530222955.0,2606226642.0,643424500.0,40858565547.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.338.296.530),-,(3.797.285.446),(47.272.727),-,(5.182.854.703),-1338296530.0,,-3797285446.0,-47272727.0,,-5182854703.0
Giảm do ngừng hợp nhất,Nguyên giá: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,-,-,-,(30.903.636),-,(30.903.636),,,,-30903636.0,,-30903636.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(32.037.644),-,-,-,-,(32.037.644),-32037644.0,,,,,-32037644.0
Tại ngày 31/12/2020,Nguyên giá: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,3.176.189.998.105,1.482.487.618.104,3.270.602.832.716,89.011.820.054,61.470.860.882,8.079.763.129.861,3176189998105.0,1482487618104.0,3270602832716.0,89011820054.0,61470860882.0,8079763129861.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2020,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,1.378.980.663.124,686.600.367.623,1.240.828.545.619,62.011.253.195,26.341.683.398,3.394.762.512.959,1378980663124.0,686600367623.0,1240828545619.0,62011253195.0,26341683398.0,3394762512959.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,146.852.191.504,106.635.662.291,150.490.932.833,7.705.309.425,16.840.448.942,428.524.544.995,146852191504.0,106635662291.0,150490932833.0,7705309425.0,16840448942.0,428524544995.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.338.296.530),-,(3.797.285.446),(47.272.727),-,(5.182.854.703),-1338296530.0,,-3797285446.0,-47272727.0,,-5182854703.0
Giảm do ngừng hợp nhất,Giá trị hao mòn lũy kế: > Giảm do ngừng hợp nhất,Giảm do ngừng hợp nhất,-,-,-,(4.807.234),-,(4.807.234),,,,-4807234.0,,-4807234.0
Tại ngày 31/12/2020,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,1.524.494.558.098,793.236.029.914,1.387.522.193.006,69.664.482.659,43.182.132.340,3.818.099.396.017,1524494558098.0,793236029914.0,1387522193006.0,69664482659.0,43182132340.0,3818099396017.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2020,Giá trị còn lại: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,1.721.187.131.952,761.790.851.242,1.962.916.032.690,21.895.423.266,20.333.048.994,4.488.122.488.144,1721187131952.0,761790851242.0,1962916032690.0,21895423266.0,20333048994.0,4488122488144.0
Tại ngày 31/12/2020,Giá trị còn lại: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,1.651.695.440.007,689.251.588.190,1.883.080.639.710,19.347.337.395,18.288.728.542,4.261.663.733.844,1651695440007.0,689251588190.0,1883080639710.0,19347337395.0,18288728542.0,4261663733844.0
