row_label_raw,row_label_full,col_0,Tại ngày31/12/2020VND,Tại ngày01/01/2020VND,numeric__Tại ngày31/12/2020VND,numeric__Tại ngày01/01/2020VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí trích trước giá thành kế hoạch Dự ánKhu dân cư Phường Thống Nhất,Ngắn hạn: > Chi phí trích trước giá thành kế hoạch Dự ánKhu dân cư Phường Thống Nhất,Chi phí trích trước giá thành kế hoạch Dự ánKhu dân cư Phường Thống Nhất,86.122.557.869,99.527.194.236,86122557869.0,99527194236.0
Trích trước tiền thuê đất,Ngắn hạn: > Trích trước tiền thuê đất,Trích trước tiền thuê đất,15.961.383.206,18.993.101.150,15961383206.0,18993101150.0
Chi phí lãi vay phải trả,Ngắn hạn: > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,16.870.593.308,16.161.263.900,16870593308.0,16161263900.0
Chi phí phải trả khác,Ngắn hạn: > Chi phí phải trả khác,Chi phí phải trả khác,75.387.907.978,37.407.317.534,75387907978.0,37407317534.0
Cộng,Ngắn hạn: > Cộng,Cộng,194.342.442.361,172.088.876.820,194342442361.0,172088876820.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,Dài hạn: > Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,491.034.072.332,362.183.521.739,491034072332.0,362183521739.0
Chi phí phải trả khác,Dài hạn: > Chi phí phải trả khác,Chi phí phải trả khác,8.567.067.755,9.183.628.433,8567067755.0,9183628433.0
Cộng,Dài hạn: > Cộng,Cộng,499.601.140.087,371.367.150.172,499601140087.0,371367150172.0
