row_label_raw,row_label_full,Ông Phan Đình Thám,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Phó Tổng Giám đốc,
Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Phó Tổng Giám đốc,
Ông Nguyễn Long Bôn,Ông Nguyễn Long Bôn,Ông Nguyễn Long Bôn,Phó Tổng Giám đốc (nghĩ hưu từ ngày 01 tháng 12 năm 2020),
Ông Trần Thanh Hải,Ông Trần Thanh Hải,Ông Trần Thanh Hải,Phó Tổng Giám đốc,
Ông Nguyễn Minh Khoa,Ông Nguyễn Minh Khoa,Ông Nguyễn Minh Khoa,Giám đốc chỉ nhánh (bỗ nhiệm ngày 10 tháng 07 năm 2020),
Bà Lai Thị Đài Trang,Bà Lai Thị Đài Trang,Bà Lai Thị Đài Trang,Giám đốc chỉ nhánh (miễn nhiệm ngày 10 tháng 07 năm 2020),
