row_label_raw,row_label_full,STT,Tên,Địa chỉ,Ngành nghề chính,Tỷ lệ quyền biểu quyết,Tỷ lệ vốn góp,Tỷ lệ lợi ích,numeric__Tên,numeric__Địa chỉ,numeric__Ngành nghề chính,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ lợi ích
1.,1.,1.,Công ty Cổ phần Xây dựng Đồng Nai,"Số 9 Huỳnh Văn Nghệ, P. Bửu Long, TP. Biên Hòa, Tĩnh Đồng Nai",Xây dựng công trình,"40,00%","40,00%","40,00%",,,,0.4,0.4,0.4
2.,2.,2.,Công ty Cổ phần Sơn Đồng Nai,"Đường 7, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Sản xuất kinh doanh sản phẩm về sơn, keo","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3
3.,3.,3.,Công ty Cổ phần Xây dựng Dân dụng Công nghiệp Số 1 - Đồng Nai,"Số 15 Đồng Khởi, P. Tân Tiến, TP. Biên Hòa, Tĩnh Đồng Nai",Xây dựng công trình và sản xuất gạch ngói,"20,00%","20,00%","20,00%",,,,0.2,0.2,0.2
