row_label_raw,row_label_full,col_0,Tại ngày31/12/2020VND,Tại ngày01/01/2020VND,numeric__Tại ngày31/12/2020VND,numeric__Tại ngày01/01/2020VND
Chi phí đến bù giải phóng mặt bằng và chi phí đầu tư hạ tầng Khu công nghiệp Châu Đức,Chi phí đến bù giải phóng mặt bằng và chi phí đầu tư hạ tầng Khu công nghiệp Châu Đức,Chi phí đến bù giải phóng mặt bằng và chi phí đầu tư hạ tầng Khu công nghiệp Châu Đức,3.553.398.893.659,1.955.603.597.061,3553398893659.0,1955603597061.0
Chi phí mở rộng Căng Đồng Nai giai đoạn 2,Chi phí mở rộng Căng Đồng Nai giai đoạn 2,Chi phí mở rộng Căng Đồng Nai giai đoạn 2,180.745.009.225,167.259.134.225,180745009225.0,167259134225.0
Công trình xử lý rác Huyện Vĩnh Cửu,Công trình xử lý rác Huyện Vĩnh Cửu,Công trình xử lý rác Huyện Vĩnh Cửu,131.637.331.392,104.684.173.602,131637331392.0,104684173602.0
Dự án cấp nước Nhơn Trạch giai đoạn 2,Dự án cấp nước Nhơn Trạch giai đoạn 2,Dự án cấp nước Nhơn Trạch giai đoạn 2,105.544.349.019,105.305.686.779,105544349019.0,105305686779.0
Dự án Golf Châu Đức,Dự án Golf Châu Đức,Dự án Golf Châu Đức,193.736.801.331,131.426.854.996,193736801331.0,131426854996.0
Công trình xử lý rác Huyện Quang Trung,Công trình xử lý rác Huyện Quang Trung,Công trình xử lý rác Huyện Quang Trung,70.804.954.004,87.543.705.114,70804954004.0,87543705114.0
Công trình Khu công nghiệp Giang Điền,Công trình Khu công nghiệp Giang Điền,Công trình Khu công nghiệp Giang Điền,5.036.646.745,72.988.696.376,5036646745.0,72988696376.0
Dự án cấp nước Thiện Tân giai đoạn 2,Dự án cấp nước Thiện Tân giai đoạn 2,Dự án cấp nước Thiện Tân giai đoạn 2,15.254.472.772,23.038.164.426,15254472772.0,23038164426.0
Dự án Khu công nghiệp Nhơn Trạch 2,Dự án Khu công nghiệp Nhơn Trạch 2,Dự án Khu công nghiệp Nhơn Trạch 2,69.867.350.716,870.272.965,69867350716.0,870272965.0
Chi phí xây dựng cơ bản dở dang khác,Chi phí xây dựng cơ bản dở dang khác,Chi phí xây dựng cơ bản dở dang khác,237.502.582.434,193.474.640.236,237502582434.0,193474640236.0
Cộng,Cộng,Cộng,4.563.528.391.297,2.842.194.925.780,4563528391297.0,2842194925780.0
