row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2020,Nguyên giá: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,473.559.615.552,16.058.608.395,2.994.843.027,492.613.066.974,473559615552.0,16058608395.0,2994843027.0,492613066974.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,742.065.269,-,742.065.269,,742065269.0,,742065269.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.032.200.200),-,(1.032.200.200),,-1032200200.0,,-1032200200.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(2.561.143.897),-,-,(2.561.143.897),-2561143897.0,,,-2561143897.0
Tại ngày 31/12/2020,Nguyên giá: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,470.998.471.655,15.768.473.464,2.994.843.027,489.761.788.146,470998471655.0,15768473464.0,2994843027.0,489761788146.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2020,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,103.825.509.299,11.167.317.519,1.828.865.593,116.821.692.411,103825509299.0,11167317519.0,1828865593.0,116821692411.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,8.951.216.394,1.595.023.139,61.611.160,10.607.850.693,8951216394.0,1595023139.0,61611160.0,10607850693.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(839.977.300),-,(839.977.300),,-839977300.0,,-839977300.0
Tại ngày 31/12/2020,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,112.776.725.693,11.922.363.358,1.890.476.753,126.589.565.804,112776725693.0,11922363358.0,1890476753.0,126589565804.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2020,Giá trị còn lại: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,369.734.106.253,4.891.290.876,1.165.977.434,375.791.374.563,369734106253.0,4891290876.0,1165977434.0,375791374563.0
Tại ngày 31/12/2020,Giá trị còn lại: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,358.221.745.962,3.846.110.106,1.104.366.274,363.172.222.342,358221745962.0,3846110106.0,1104366274.0,363172222342.0
