row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác:,Tại ngày 31/12/2020VND > Giá trị ghi số > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 31/12/2020VND > Giá trị hợp lý > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 31/12/2020VND > Dự phòng > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 01/01/2020VND > Giá trị ghi số > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 01/01/2020VND > Giá trị hợp lý > Đầu tư góp vốn vào đơn vị khác:,Tại ngày 01/01/2020VND > Dự phòng > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 31/12/2020VND > Giá trị ghi số > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 31/12/2020VND > Giá trị hợp lý > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 31/12/2020VND > Dự phòng > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 01/01/2020VND > Giá trị ghi số > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 01/01/2020VND > Giá trị hợp lý > Đầu tư góp vốn vào đơn vị khác:,numeric__Tại ngày 01/01/2020VND > Dự phòng > Đầu tư góp vốn vào đơn vị khác:
Công ty Cổ phần Amata,Công ty Cổ phần Amata,Công ty Cổ phần Amata,47.180.395.294,(*),-,41.550.395.294,(*),-,47180395294.0,,,41550395294.0,,
Công ty Cổ phần Cấp nước Châu Đức,Công ty Cổ phần Cấp nước Châu Đức,Công ty Cổ phần Cấp nước Châu Đức,19.800.000.000,(*),-,16.500.000.000,(*),-,19800000000.0,,,16500000000.0,,
Công ty Cổ phần Cấu kiện Bê tông,Công ty Cổ phần Cấu kiện Bê tông,Công ty Cổ phần Cấu kiện Bê tông,,,,,,,,,,,,
Nhơn Trạch 2,Công ty Cổ phần Cấu kiện Bê tông > Nhơn Trạch 2,Nhơn Trạch 2,11.250.000.000,(*),(786.820.845),11.250.000.000,(*),(1.590.683.100),11250000000.0,,-786820845.0,11250000000.0,,-1590683100.0
Công ty Cổ phần Địa éc Thảo Điền,Công ty Cổ phần Cấu kiện Bê tông > Công ty Cổ phần Địa éc Thảo Điền,Công ty Cổ phần Địa éc Thảo Điền,10.000.000.000,(*),-,10.000.000.000,(*),-,10000000000.0,,,10000000000.0,,
Công ty Cổ phần Đầu tư và Xây dựng,Công ty Cổ phần Đầu tư và Xây dựng,Công ty Cổ phần Đầu tư và Xây dựng,,,,,,,,,,,,
Cầu Đồng Nai (BOT Cầu Đồng Nai),Công ty Cổ phần Đầu tư và Xây dựng > Cầu Đồng Nai (BOT Cầu Đồng Nai),Cầu Đồng Nai (BOT Cầu Đồng Nai),72.516.189.000,(*),-,72.516.189.000,(*),-,72516189000.0,,,72516189000.0,,
Công ty Cổ phần Cấp Nước Long Khánh,Công ty Cổ phần Đầu tư và Xây dựng > Công ty Cổ phần Cấp Nước Long Khánh,Công ty Cổ phần Cấp Nước Long Khánh,1.054.088.000,(*),-,1.054.088.000,(*),-,1054088000.0,,,1054088000.0,,
Công ty Cổ phần Công trình Giao thông,Công ty Cổ phần Công trình Giao thông,Công ty Cổ phần Công trình Giao thông,,,,,,,,,,,,
Đồng Nai,Công ty Cổ phần Công trình Giao thông > Đồng Nai,Đồng Nai,1.711.890.000,12.405.000.000,-,1.711.890.000,11.462.220.000,-,1711890000.0,12405000000.0,,1711890000.0,11462220000.0,
Cộng,Công ty Cổ phần Công trình Giao thông > Cộng,Cộng,163.512.562.294,,(786.820.845),154.582.562.294,,(1.590.683.100),163512562294.0,,-786820845.0,154582562294.0,,-1590683100.0
