row_label_raw,row_label_full,NGUÒN VÓN,Mã số,TM,Tại ngày 31/12/2020,Tại ngày 01/01/2020,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2020,numeric__Tại ngày 01/01/2020
D. VÓN CHỦ SỞ HỮU,D. VÓN CHỦ SỞ HỮU,D. VÓN CHỦ SỞ HỮU,400,,8.435.805.564.050,7.730.116.021.921,400.0,,8435805564050.0,7730116021921.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,4.23,8.435.805.564.050,7.728.314.332.191,410.0,423.0,8435805564050.0,7728314332191.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,3.765.000.000.000,3.765.000.000.000,411.0,,3765000000000.0,3765000000000.0
Cổ phiếu phổ thông có quyền biểu quyết,Cổ phiếu phổ thông có quyền biểu quyết,Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.765.000.000.000,3.765.000.000.000,,,3765000000000.0,3765000000000.0
2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,412,,107.957.289.146,107.306.830.060,412.0,,107957289146.0,107306830060.0
3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,414,,234.047.706.002,182.186.106.002,414.0,,234047706002.0,182186106002.0
4. Cổ phiếu quỹ,4. Cổ phiếu quỹ,4. Cổ phiếu quỹ,415,,(90.100.000),(90.100.000),415.0,,-90100000.0,-90100000.0
5. Chênh lệch đánh giá lại tài sản,5. Chênh lệch đánh giá lại tài sản,5. Chênh lệch đánh giá lại tài sản,416,,(595.686.133.141),(595.686.133.141),416.0,,-595686133141.0,-595686133141.0
6. Quỹ đầu tư phát triển,6. Quỹ đầu tư phát triển,6. Quỹ đầu tư phát triển,418,,481.796.881.998,422.161.630.445,418.0,,481796881998.0,422161630445.0
7. Quỹ khác thuộc vốn chủ sở hữu,7. Quỹ khác thuộc vốn chủ sở hữu,7. Quỹ khác thuộc vốn chủ sở hữu,420,,4.331.087.435,15.473.029.813,420.0,,4331087435.0,15473029813.0
8. Lợi nhuận sau thuế chưa phân phối,8. Lợi nhuận sau thuế chưa phân phối,8. Lợi nhuận sau thuế chưa phân phối,421,,1.340.278.851.355,956.448.331.575,421.0,,1340278851355.0,956448331575.0
LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,421a,,602.780.775.912,469.078.575.407,,,602780775912.0,469078575407.0
LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,421b,,737.498.075.443,487.369.756.168,,,737498075443.0,487369756168.0
9. Nguồn vốn đầu tư XDCB,9. Nguồn vốn đầu tư XDCB,9. Nguồn vốn đầu tư XDCB,422,,-,3.056.212.501,422.0,,,3056212501.0
10. Lợi ích cổ đông không kiểm soát,10. Lợi ích cổ đông không kiểm soát,10. Lợi ích cổ đông không kiểm soát,429,,3.098.169.981.255,2.872.458.424.936,429.0,,3098169981255.0,2872458424936.0
II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,430,,-,1.801.689.730,430.0,,,1801689730.0
1. Nguồn kinh phí,1. Nguồn kinh phí,1. Nguồn kinh phí,431,,-,1.801.689.730,431.0,,,1801689730.0
TỔNG CỘNG NGUÒN VÓN,TỔNG CỘNG NGUÒN VÓN,TỔNG CỘNG NGUÒN VÓN,440,,20.492.806.378.083,18.300.403.479.967,440.0,,20492806378083.0,18300403479967.0
