row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phầnKỹ thương Việt Nam(“Techcombank”) (**),"31/12/2021 > Tỷ lệ sở hữu trên vốn cổ phần > 19,9%","31/12/2021 > Tỷ lệ quyền biểu quyết trên vốn cổ phần > 19,9%",31/12/2021 > Giá trị ghi số theo phương pháp vốn chủ sở hữu Triệu VND > 21.595.443,31/12/2021 > Giá trị hợp lý Triệu VND > 37.575.302,"1/1/2021 > Tỷ lệ sở hữu trên vốn cổ phần > 19,9%","1/1/2021 > Tỷ lệ quyền biểu quyết trên vốn cổ phần > 19,9%",1/1/2021 > Giá trị ghi số theo phương pháp vốn chủ sở hữu Triệu VND > 17.729.570,1/1/2021 > Giá trị hợp lý Triệu VND > 23.672.458,"numeric__31/12/2021 > Tỷ lệ sở hữu trên vốn cổ phần > 19,9%","numeric__31/12/2021 > Tỷ lệ quyền biểu quyết trên vốn cổ phần > 19,9%",numeric__31/12/2021 > Giá trị ghi số theo phương pháp vốn chủ sở hữu Triệu VND > 21.595.443,numeric__31/12/2021 > Giá trị hợp lý Triệu VND > 37.575.302,"numeric__1/1/2021 > Tỷ lệ sở hữu trên vốn cổ phần > 19,9%","numeric__1/1/2021 > Tỷ lệ quyền biểu quyết trên vốn cổ phần > 19,9%",numeric__1/1/2021 > Giá trị ghi số theo phương pháp vốn chủ sở hữu Triệu VND > 17.729.570,numeric__1/1/2021 > Giá trị hợp lý Triệu VND > 23.672.458
Công ty Cổ phần Thực phẩmCholimex (“Cholimex”),Công ty Cổ phần Thực phẩmCholimex (“Cholimex”),Công ty Cổ phần Thực phẩmCholimex (“Cholimex”),"32,8%","32,8%",249.392,(*),"32,8%","32,8%",249.392,(*),0.32799999999999996,0.32799999999999996,249392.0,,0.32799999999999996,0.32799999999999996,249392.0,
Công ty Cổ phần Việt Nam Kỹ nghệSúc sản (“Vissan”),Công ty Cổ phần Việt Nam Kỹ nghệSúc sản (“Vissan”),Công ty Cổ phần Việt Nam Kỹ nghệSúc sản (“Vissan”),"24,9%","24,9%",2.135.490,(*),"24,9%","24,9%",2.135.490,(*),0.249,0.249,2135490.0,,0.249,0.249,2135490.0,
"Jiangwu H.C. Starck TungstenProducts Co., Ltd. (“Jiangwu”)","Jiangwu H.C. Starck TungstenProducts Co., Ltd. (“Jiangwu”)","Jiangwu H.C. Starck TungstenProducts Co., Ltd. (“Jiangwu”)","30,0%","30,0%",180.510,(*),"30,0%","30,0%",195.227,(*),0.3,0.3,180510.0,,0.3,0.3,195227.0,
Công ty Cổ phần Phúc LongHeritage (“Phúc Long Heritage”),Công ty Cổ phần Phúc LongHeritage (“Phúc Long Heritage”),Công ty Cổ phần Phúc LongHeritage (“Phúc Long Heritage”),"20,0%","20,0%",377.968,(*),-,-,-,-,0.2,0.2,377968.0,,,,,
Công ty Cổ phần Bao bì ThuậnPhát (“Thuận Phát”),Công ty Cổ phần Bao bì ThuậnPhát (“Thuận Phát”),Công ty Cổ phần Bao bì ThuậnPhát (“Thuận Phát”),-,-,-,-,"25,0%","25,0%",4.289,(*),,,,,0.25,0.25,4289.0,
Công ty Cổ phần Chế biến Súc sảnLong Bình (“Abattoir”),Công ty Cổ phần Chế biến Súc sảnLong Bình (“Abattoir”),Công ty Cổ phần Chế biến Súc sảnLong Bình (“Abattoir”),-,-,-,-,"25,0%","25,0%",6.770,(*),,,,,0.25,0.25,6770.0,
,,,,,24.538.803,,,,20.320.738,,,,24538803.0,,,,20320738.0,
