row_label_raw,row_label_full,col_0,Trợ cấp hưu trí Triệu VND,Quyền khai thác mỗ Triệu VND,Chi phí phục hồi môi trường mỗ Triệu VND,Trợ cấp thời việc Triệu VND,Tổng Triệu VND,numeric__Trợ cấp hưu trí Triệu VND,numeric__Quyền khai thác mỗ Triệu VND,numeric__Chi phí phục hồi môi trường mỗ Triệu VND,numeric__Trợ cấp thời việc Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,6.963.327,390.248,103.801,48.962,7.506.338,6963327.0,390248.0,103801.0,48962.0,7506338.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,17.683,216.016,4.899,691,239.289,17683.0,216016.0,4899.0,691.0,239289.0
Dự phòng hoàn lập trong năm,Dự phòng hoàn lập trong năm,Dự phòng hoàn lập trong năm,-,-,-,(2.930),(2.930),,,,-2930.0,-2930.0
Tái đánh giá nợ phải trả phúc lợi hưu trí (*),Tái đánh giá nợ phải trả phúc lợi hưu trí (*),Tái đánh giá nợ phải trả phúc lợi hưu trí (*),(483.845),-,-,-,(483.845),-483845.0,,,,-483845.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(201.538),(73.147),-,(946),(275.631),-201538.0,-73147.0,,-946.0,-275631.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(586.720),-,-,-,(586.720),-586720.0,,,,-586720.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,-,-,-,(27.420),(27.420),,,,-27420.0,-27420.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.708.907,533.117,108.700,18.357,6.369.081,5708907.0,533117.0,108700.0,18357.0,6369081.0
