row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng và khác Triệu VND,Máy móc và thiết bị Triệu VND,Tài sản khai khoáng khác Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,17.797.784,93.148,239.043,27.355.934,5.095.927,195.812,50.777.648,17797784.0,93148.0,239043.0,27355934.0,5095927.0,195812.0,50777648.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,15.224,1.078,7.009,333.267,-,9.453,366.031,15224.0,1078.0,7009.0,333267.0,,9453.0,366031.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,750.150,-,27.585,917.345,-,12.030,1.707.110,750150.0,,27585.0,917345.0,,12030.0,1707110.0
Chuyển (sang)/từ chi phí trả trước dài hạn,Nguyên giá > Chuyển (sang)/từ chi phí trả trước dài hạn,Chuyển (sang)/từ chi phí trả trước dài hạn,(49),-,(832),92.418,-,-,91.537,-49.0,,-832.0,92418.0,,,91537.0
Chuyển sang tài sản cố định vô hình,Nguyên giá > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,(23.217),-,-,-,(23.217),,,-23217.0,,,,-23217.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(1.220.894),-,-,-,-,-,(1.220.894),-1220894.0,,,,,,-1220894.0
Thanh lý/Xóa sổ,Nguyên giá > Thanh lý/Xóa sổ,Thanh lý/Xóa sổ,(10.578),(248),(1.672),(123.715),-,(16.792),(153.005),-10578.0,-248.0,-1672.0,-123715.0,,-16792.0,-153005.0
(Giảm)/tăng khác,Nguyên giá > (Giảm)/tăng khác,(Giảm)/tăng khác,(4.279),-,-,16.270,-,-,11.991,-4279.0,,,16270.0,,,11991.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(92.558),-,-,(269.225),-,-,(361.783),-92558.0,,,-269225.0,,,-361783.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Nguyên giá > Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,(1.252.707),-,(30.814),(1.404.053),-,(33.739),(2.721.313),-1252707.0,,-30814.0,-1404053.0,,-33739.0,-2721313.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,15.982.093,93.978,217.102,26.918.241,5.095.927,166.764,48.474.105,15982093.0,93978.0,217102.0,26918241.0,5095927.0,166764.0,48474105.0
