row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmvi tínhTriệu VND,Thương hiệuTriệu VND,Quan hệkhách hàngTriệu VND,Quyền khai thác mỏTriệu VND,Tài nguyên nước khoángTriệu VND,Quyền khai thác nguồn nước khoángTriệu VND,Công nghệTriệu VND,Chi phí triển khaiTriệu VND,KhácTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmvi tínhTriệu VND,numeric__Thương hiệuTriệu VND,numeric__Quan hệkhách hàngTriệu VND,numeric__Quyền khai thác mỏTriệu VND,numeric__Tài nguyên nước khoángTriệu VND,numeric__Quyền khai thác nguồn nước khoángTriệu VND,numeric__Công nghệTriệu VND,numeric__Chi phí triển khaiTriệu VND,numeric__KhácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.017.955,981.908,4.076.431,6.412.892,588.373,412.698,72.122,2.215.021,790.331,26.485,19.594.216,4017955.0,981908.0,4076431.0,6412892.0,588373.0,412698.0,72122.0,2215021.0,790331.0,26485.0,19594216.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,9.334,-,-,204.284,-,888,37.155,-,-,251.661,,9334.0,,,204284.0,,888.0,37155.0,,,251661.0
Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Nguyên giá > Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),-,14.198,-,-,-,-,-,-,-,120.500,134.698,,14198.0,,,,,,,,120500.0,134698.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(310),-,-,-,-,-,-,-,-,(310),,-310.0,,,,,,,,,-310.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,23.217,-,-,-,-,-,-,-,-,23.217,,23217.0,,,,,,,,,23217.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,16.146,-,-,-,-,-,-,-,-,16.146,,16146.0,,,,,,,,,16146.0
Chuyển sang bắt động sản đầu tư,Nguyên giá > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(37.536),-,-,-,-,-,-,-,-,-,(37.536),-37536.0,,,,,,,,,,-37536.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(1.402),-,-,-,-,-,-,-,-,(1.402),,-1402.0,,,,,,,,,-1402.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(2.757),(24.536),(104.082),(21.376),-,-,-,(143.571),(63.707),(970),(360.999),-2757.0,-24536.0,-104082.0,-21376.0,,,,-143571.0,-63707.0,-970.0,-360999.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Nguyên giá > Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,(213.685),(58.004),(1.645.999),(2.670.099),-,-,-,(669.433),-,-,(5.257.220),-213685.0,-58004.0,-1645999.0,-2670099.0,,,,-669433.0,,,-5257220.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.763.977,960.551,2.326.350,3.721.417,792.657,412.698,73.010,1.439.172,726.624,146.015,14.362.471,3763977.0,960551.0,2326350.0,3721417.0,792657.0,412698.0,73010.0,1439172.0,726624.0,146015.0,14362471.0
