row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2021 Triệu VND,1/1/2021 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__1/1/2021 Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,42.336.652,25.030.279,400.0,,42336652.0,25030279.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,23,42.336.652,25.030.279,410.0,23.0,42336652.0,25030279.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,24,11.805.347,11.746.832,411.0,24.0,11805347.0,11746832.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,24,11.084.247,11.084.297,412.0,24.0,11084247.0,11084297.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(8.388.147),(8.563.690),414.0,,-8388147.0,-8563690.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,(339.255),(226.972),417.0,,-339255.0,-226972.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,(147.087),(284.952),420.0,,-147087.0,-284952.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,18.795.877,2.182.124,421.0,,18795877.0,2182124.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,762.441,27.383.610,,,762441.0,27383610.0
- Lợi nhuận sau thuế chưa phân phối năm nay/(lỗ sau thuế năm trước),- Lợi nhuận sau thuế chưa phân phối năm nay/(lỗ sau thuế năm trước),- Lợi nhuận sau thuế chưa phân phối năm nay/(lỗ sau thuế năm trước),421b,,18.033.436,(25.201.486),,,18033436.0,-25201486.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,9.525.670,9.092.640,429.0,,9525670.0,9092640.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,126.093.471,115.736.562,440.0,,126093471.0,115736562.0
