row_label_raw,row_label_full,STT,Tên công ty,Thuyết minh,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích 31/12/2021 1/1/2021,Tỷ lệ lợi ích 31/12/2021 1/1/2021_1,numeric__Tên công ty,numeric__Thuyết minh,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Tỷ lệ lợi ích 31/12/2021 1/1/2021,numeric__Tỷ lệ lợi ích 31/12/2021 1/1/2021_1
Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,,,,,,
1,1,1,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam (“Techcombank”),,Ngân hàng,"Tòa nhà Techcombank, 191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trung, Thành phố Hà Nội, Việt Nam",Thuyết minh 8(b),Thuyết minh 8(b),,,,,,
Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,,,,,,
1,Công ty liên kết sở hữu gián tiếp > 1,1,Công ty Cổ phần Thực phẩm Cholimex (“Cholimex”),(vi),Sản xuất và kinh doanh gia vị,"Lô C40 – 43/I, Đường số 7, Khu Công nghiệp Vĩnh Lộc, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam","32,8%","32,8%",,,,,0.32799999999999996,0.32799999999999996
2,Công ty liên kết sở hữu gián tiếp > 2,2,Công ty Cổ phần Bao bì Thuận Phát (“Thuận Phát”),Thuyết minh 6,Sản xuất bao bì,"Phường Tân Biên, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",-,"25,0%",,,,,,0.25
3,Công ty liên kết sở hữu gián tiếp > 3,3,Công ty Cổ phần Chế biến Súc sản Long Bình (“Abattoir”),Thuyết minh 6,Chế biến sức sản,"Phường Long Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",-,"25,0%",,,,,,0.25
4,Công ty liên kết sở hữu gián tiếp > 4,4,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản (“Vissan”),(vii)/(d),Sản xuất thực phẩm và bán lẻ,"420 Nơ Trang Long, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","24,9%","24,9%",,,,,0.249,0.249
5,Công ty liên kết sở hữu gián tiếp > 5,5,"Jiangwu H.C. Starck Tungsten Products Co., Ltd.",(viii),Chế biến sâu kim loại màu và kim loại quý (Vonfram),"Khu Công nghiệp Thủy Tây, Quận Chương Cống, Thành phố Cám Châu, Tỉnh Giang Tây, Trung Quốc","30,0%","30,0%",,,,,0.3,0.3
6,Công ty liên kết sở hữu gián tiếp > 6,6,Công ty Cổ phần Phúc Long Heritage (“Phúc Long Heritage”),(x)/(c),Thực phẩm và đồ uống,"42/24 - 42/26 Đường số 643, Tạ Quang Bửu, Phường 4, Quận 8, Thành phố Hồ Chí Minh, Việt Nam","20,0%",-,,,,,0.2,
