row_label_raw,row_label_full,col_0,Giá trị ghi sổTriệu VND,numeric__Giá trị ghi sổTriệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,917.940,917940.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,1.948.821,1948821.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,1.918.206,1918206.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,44.645,44645.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,270,270.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,1.111.145,1111145.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,3.066.390,3066390.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,62.737,62737.0
"Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Vissan","Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Vissan","Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Vissan",41.455,41455.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,116.461,116461.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,9.568,9568.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(790.983),-790983.0
Thuế phải nộp cho Nhà nước,Thuế phải nộp cho Nhà nước,Thuế phải nộp cho Nhà nước,(59.532),-59532.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(408.865),-408865.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(1.225.137),-1225137.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,(27.420),-27420.0
Nợ dài hạn khác,Nợ dài hạn khác,Nợ dài hạn khác,(415.091),-415091.0
Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,(1.012.351),-1012351.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,5.298.259,5298259.0
Tiền và các khoản tương đương tiền của MNS Feed và các công ty con tại ngày 1 tháng 12 năm 2021 (*),Tiền và các khoản tương đương tiền của MNS Feed và các công ty con tại ngày 1 tháng 12 năm 2021 (*),Tiền và các khoản tương đương tiền của MNS Feed và các công ty con tại ngày 1 tháng 12 năm 2021 (*),(917.940),-917940.0
