row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua Triệu VND,Các điều chỉnh giá trị hợp lý Triệu VND,Giá trị ghi nhận tại thời điểm mua Triệu VND,numeric__Giá trị ghi sổ trước thời điểm mua Triệu VND,numeric__Các điều chỉnh giá trị hợp lý Triệu VND,numeric__Giá trị ghi nhận tại thời điểm mua Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,302.178,-,302.178,302178.0,,302178.0
Phải thu của khách hàng ngắn hạn,Phải thu của khách hàng ngắn hạn,Phải thu của khách hàng ngắn hạn,44,-,44,44.0,,44.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,200.336,-,200.336,200336.0,,200336.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,44.777,-,44.777,44777.0,,44777.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,14.198,120.500,134.698,14198.0,120500.0,134698.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,2.827,-,2.827,2827.0,,2827.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,2.245,-,2.245,2245.0,,2245.0
Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,(2.730),-,(2.730),-2730.0,,-2730.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(247.963),-,(247.963),-247963.0,,-247963.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(23.893),-,(23.893),-23893.0,,-23893.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(24.100),(24.100),,-24100.0,-24100.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,292.019,96.400,388.419,292019.0,96400.0,388419.0
Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,,,271.866,,,271866.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 17),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 17),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 17),,,25.159,,,25159.0
Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,,,297.025,,,297025.0
Tiền và các khoản tương đương tiền thu từ hợp nhất kinh doanh,Tiền và các khoản tương đương tiền thu từ hợp nhất kinh doanh,Tiền và các khoản tương đương tiền thu từ hợp nhất kinh doanh,,,302.178,,,302178.0
Dòng tiền thu thuần,Dòng tiền thu thuần,Dòng tiền thu thuần,,,5.153,,,5153.0
