row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2021Triệu VND,1/1/2021Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021Triệu VND,numeric__1/1/2021Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,43.630.176,29.760.685,100.0,,43630176.0,29760685.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,7,22.304.822,7.721.442,110.0,7.0,22304822.0,7721442.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,6.885.412,1.930.142,111.0,,6885412.0,1930142.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,15.419.410,5.791.300,112.0,,15419410.0,5791300.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,332.753,447.250,120.0,,332753.0,447250.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,8(a),332.753,447.250,123.0,,332753.0,447250.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,9,6.634.409,7.051.442,130.0,9.0,6634409.0,7051442.0
Phải thu của khách hàng,TÀI SẢN > Phải thu của khách hàng,Phải thu của khách hàng,131,,2.480.224,2.061.915,131.0,,2480224.0,2061915.0
Trả trước cho người bán,TÀI SẢN > Trả trước cho người bán,Trả trước cho người bán,132,,851.052,606.656,132.0,,851052.0,606656.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,,2.452.812,1.140.000,135.0,,2452812.0,1140000.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,,883.690,3.350.727,136.0,,883690.0,3350727.0
Dự phòng phải thu khó đòi,TÀI SẢN > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,137,,(33.369),(107.856),137.0,,-33369.0,-107856.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,10,12.813.391,12.497.917,140.0,10.0,12813391.0,12497917.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,12.947.923,12.730.397,141.0,,12947923.0,12730397.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(134.532),(232.480),149.0,,-134532.0,-232480.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.544.801,2.042.634,150.0,,1544801.0,2042634.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,256.766,303.201,151.0,,256766.0,303201.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,1.233.915,1.663.346,152.0,,1233915.0,1663346.0
Thuế phải thu Nhà nước,TÀI SẢN > Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,153,18(a),54.120,76.087,153.0,,54120.0,76087.0
