row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2021 Triệu VND,1/1/2021 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__1/1/2021 Triệu VND
Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),200,,82.463.295,85.975.877,200.0,,82463295.0,85975877.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,9,1.878.478,1.592.008,210.0,9.0,1878478.0,1592008.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,,81.150,-,215.0,,81150.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,1.797.328,1.592.008,216.0,,1797328.0,1592008.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,42.653.939,49.582.187,220.0,,42653939.0,49582187.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,11,31.151.629,34.321.764,221.0,11.0,31151629.0,34321764.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,48.474.105,50.777.648,222.0,,48474105.0,50777648.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(17.322.476),(16.455.884),223.0,,-17322476.0,-16455884.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,,209.550,22.278,224.0,,209550.0,22278.0
Nguyên giá,Nguyên giá,Nguyên giá,225,,308.899,90.061,225.0,,308899.0,90061.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(99.349),(67.783),226.0,,-99349.0,-67783.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,12,11.292.760,15.238.145,227.0,12.0,11292760.0,15238145.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,14.362.471,19.594.216,228.0,,14362471.0,19594216.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(3.069.711),(4.356.071),229.0,,-3069711.0,-4356071.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,13,810.057,14.518,230.0,13.0,810057.0,14518.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,1.174.802,18.628,231.0,,1174802.0,18628.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(364.745),(4.110),232.0,,-364745.0,-4110.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,2.021.827,2.274.759,240.0,,2021827.0,2274759.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,14,2.021.827,2.274.759,242.0,14.0,2021827.0,2274759.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,24.538.803,20.353.099,250.0,,24538803.0,20353099.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,252,8(b),24.538.803,20.320.738,252.0,,24538803.0,20320738.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,,-,30.589,253.0,,,30589.0
Dự phòng giám giá đầu tư tài chính dài hạn,Dự phòng giám giá đầu tư tài chính dài hạn,Dự phòng giám giá đầu tư tài chính dài hạn,254,,-,(5.628),254.0,,,-5628.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,,-,7.400,255.0,,,7400.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,10.560.191,12.159.306,260.0,,10560191.0,12159306.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,15,6.593.682,6.533.670,261.0,15.0,6593682.0,6533670.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,16,609.690,1.794.136,262.0,16.0,609690.0,1794136.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,17,3.356.819,3.831.500,269.0,17.0,3356819.0,3831500.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,126.093.471,115.736.562,270.0,,126093471.0,115736562.0
