row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng và khác Triệu VND,Máy móc và thiết bị Triệu VND,Tài sản khai khoáng khác Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.518.651,82.040,212.293,11.239.569,1.339.998,63.333,16.455.884,3518651.0,82040.0,212293.0,11239569.0,1339998.0,63333.0,16455884.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,916.030,4.577,44.816,1.944.545,151.305,29.699,3.090.972,916030.0,4577.0,44816.0,1944545.0,151305.0,29699.0,3090972.0
Chuyển (sang)/từ chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển (sang)/từ chi phí trả trước dài hạn,Chuyển (sang)/từ chi phí trả trước dài hạn,(35),-,(767),54.273,-,-,53.471,-35.0,,-767.0,54273.0,,,53471.0
Chuyển sang tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,(19.154),-,-,-,(19.154),,,-19154.0,,,,-19154.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(315.295),-,-,-,-,-,(315.295),-315295.0,,,,,,-315295.0
Thanh lý/Xóa sổ,Giá trị hao mòn lũy kế > Thanh lý/Xóa sổ,Thanh lý/Xóa sổ,(4.170),(248),(826),(90.810),-,(16.617),(112.671),-4170.0,-248.0,-826.0,-90810.0,,-16617.0,-112671.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(23.415),-,-,19.517,-,3.898,-,-23415.0,,,19517.0,,3898.0,
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(42.797),-,30,(177.796),-,-,(220.563),-42797.0,,30.0,-177796.0,,,-220563.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giá trị hao mòn lũy kế > Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,(592.292),-,(19.290),(974.758),-,(23.828),(1.610.168),-592292.0,,-19290.0,-974758.0,,-23828.0,-1610168.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.456.677,86.369,217.102,12.014.540,1.491.303,56.485,17.322.476,3456677.0,86369.0,217102.0,12014540.0,1491303.0,56485.0,17322476.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,14.279.133,11.108,26.750,16.116.365,3.755.929,132.479,34.321.764,14279133.0,11108.0,26750.0,16116365.0,3755929.0,132479.0,34321764.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.525.416,7.609,-,14.903.701,3.604.624,110.279,31.151.629,12525416.0,7609.0,,14903701.0,3604624.0,110279.0,31151629.0
