row_label_raw,row_label_full,STT,Tên công ty,Thuyết minh,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích > 31/12/2021,Tỷ lệ lợi ích > 1/1/2021,numeric__Tên công ty,numeric__Thuyết minh,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Tỷ lệ lợi ích > 31/12/2021,numeric__Tỷ lệ lợi ích > 1/1/2021
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,,,
1,Công ty con sở hữu trực tiếp > 1,1,Công ty Cổ phần Tầm nhìn Masan(trước đây là Công ty TNHH Tầm nhìn Masan) (“MH”),,Tư vấn quản lý đầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza,17 Lê Duẩn, Phường Bến Nghé, Quận 1,Thành phố Hồ Chí Minh, Việt Nam","99,9%","99,9%",,,,,0.9990000000000001,0.9990000000000001
2,Công ty con sở hữu trực tiếp > 2,2,Công ty Cổ phần Masan MEATLife(“MML”),,"Tư vấn quản lý đầu tư,kinh doanh thức ănchăn nuôi","Tầng 10, Tòa nhà Central Plaza, 17 Lê Duẩn,Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh,Việt Nam","87,8%","87,9%",,,,,0.878,0.879
3,Công ty con sở hữu trực tiếp > 3,3,Công ty TNHH The SHERPA(“SHERPA”),,Tư vấn quản lý đầu tư,"Tầng 10, Tòa nhà Central Plaza, 17 Lê Duẩn,Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh,Việt Nam","99,9%","99,9%",,,,,0.9990000000000001,0.9990000000000001
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,,,,
1,Công ty con sở hữu gián tiếp > 1,1,Công ty Cổ phần The CrownX(“CrownX”),,Tư vấn quản lý đầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, 17 LêDuẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ ChíMinh, Việt Nam","81,7%","84,8%",,,,,0.8170000000000001,0.848
2,Công ty con sở hữu gián tiếp > 2,2,Công ty TNHHMasanConsumerHoldings (“MCH”),,Tư vấn quản lý đầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, 17 LêDuẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ ChíMinh, Việt Nam","70,0%","72,7%",,,,,0.7,0.727
3,Công ty con sở hữu gián tiếp > 3,3,Công ty TNHH Masan Brewery(“MB”),(i),Tư vấn quản lý đầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, 17 LêDuẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ ChíMinh, Việt Nam","46,7%","48,5%",,,,,0.467,0.485
4,Công ty con sở hữu gián tiếp > 4,4,Công ty TNHH Masan MasterBrewer (“MMBr”),(i),Kinh doanh biavà nước giải khát,"Tầng 10, Tòa nhà Central Plaza, 17 Lê Duẩn, PhườngBến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","46,7%","48,5%",,,,,0.467,0.485
5,Công ty con sở hữu gián tiếp > 5,5,Công ty TNHH Một Thành viênMasan Brewery PY (“MBPY”),(i),Sản xuất bia vànước giải khát,"Khu Công nghiệp Hòa Hiệp, Xã Hòa Hiệp Bắc,Huyện Đông Hòa, Tỉnh Phú Yên, Việt Nam","46,7%","48,5%",,,,,0.467,0.485
