row_label_raw,row_label_full,col_0,Tài sān khai khoáng khác Triệu VND,Chi phí đất trả trước Triệu VND,Chi phí bồi thường đất Triệu VND,"Trục in, công cụ và dụng cụ Triệu VND",Lợi thế kinh doanh từ cổ phần hóa Triệu VND,Heo giống Triệu VND,Chi phí khác Triệu VND,Tổng Triệu VND,numeric__Tài sān khai khoáng khác Triệu VND,numeric__Chi phí đất trả trước Triệu VND,numeric__Chi phí bồi thường đất Triệu VND,"numeric__Trục in, công cụ và dụng cụ Triệu VND",numeric__Lợi thế kinh doanh từ cổ phần hóa Triệu VND,numeric__Heo giống Triệu VND,numeric__Chi phí khác Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.527.265,1.641.475,994.085,982.483,15.673,59.004,1.313.685,6.533.670,1527265.0,1641475.0,994085.0,982483.0,15673.0,59004.0,1313685.0,6533670.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,205.410,-,-,290.207,-,-,127.760,623.377,205410.0,,,290207.0,,,127760.0,623377.0
Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,-,-,-,822,-,-,-,822,,,,822.0,,,,822.0
Chuyển (sang)/từ chi phí trả trước ngắn hạn,Chuyển (sang)/từ chi phí trả trước ngắn hạn,Chuyển (sang)/từ chi phí trả trước ngắn hạn,-,(46),-,2.864,-,-,305,3.123,,-46.0,,2864.0,,,305.0,3123.0
Chuyển từ phải thu dài hạn khác,Chuyển từ phải thu dài hạn khác,Chuyển từ phải thu dài hạn khác,-,-,124.339,-,-,-,-,124.339,,,124339.0,,,,,124339.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,-,-,(38.066),-,-,-,(38.066),,,,-38066.0,,,,-38066.0
Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,-,149,-,-,-,149,,,,149.0,,,,149.0
Chuyển từ/(sang) xây dựng cơ bản dở dang,Chuyển từ/(sang) xây dựng cơ bản dở dang,Chuyển từ/(sang) xây dựng cơ bản dở dang,106.227,(8.514),433.138,64.568,-,30.429,20.323,646.171,106227.0,-8514.0,433138.0,64568.0,,30429.0,20323.0,646171.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(128.316),(39.806),(79.828),(458.139),(3.134),(29.622),(355.554),(1.094.399),-128316.0,-39806.0,-79828.0,-458139.0,-3134.0,-29622.0,-355554.0,-1094399.0
Thanh lý/ Xóa số,Thanh lý/ Xóa số,Thanh lý/ Xóa số,-,-,-,(7.768),-,(24.067),(10.473),(42.308),,,,-7768.0,,-24067.0,-10473.0,-42308.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,107,(46.748),(247),-,-,153,(46.735),,107.0,-46748.0,-247.0,,,153.0,-46735.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,-,(96.597),-,(12.937),-,-,(6.927),(116.461),,-96597.0,,-12937.0,,,-6927.0,-116461.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.710.586,1.496.619,1.424.986,823.936,12.539,35.744,1.089.272,6.593.682,1710586.0,1496619.0,1424986.0,823936.0,12539.0,35744.0,1089272.0,6593682.0
