row_label_raw,row_label_full,col_0,EUR quy đổi,USD quy đổi,Giá trị vàng tiền tệ quy đổi,Các ngoại tệ khác quy đổi,Tổng,numeric__EUR quy đổi,numeric__USD quy đổi,numeric__Giá trị vàng tiền tệ quy đổi,numeric__Các ngoại tệ khác quy đổi,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",228.487,1.055.948,3.764,68.352,1.356.551,228487.0,1055948.0,3764.0,68352.0,1356551.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,5.297.528,-,4.435,5.301.963,,5297528.0,,4435.0,5301963.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),622.535,20.025.620,-,445.740,21.093.895,622535.0,20025620.0,,445740.0,21093895.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,1.788.427,652.104,-,-,2.440.531,1788427.0,652104.0,,,2440531.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),249.131,71.992.158,-,222.175,72.463.464,249131.0,71992158.0,,222175.0,72463464.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,120.745,-,-,120.745,,120745.0,,,120745.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),26.258,1.880.246,-,4.266,1.910.770,26258.0,1880246.0,,4266.0,1910770.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.914.838,101.024.349,3.764,744.968,104.687.919,2914838.0,101024349.0,3764.0,744968.0,104687919.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,Nợ phải trả > Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,167.711,60.582.735,-,226.452,60.976.898,167711.0,60582735.0,,226452.0,60976898.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.393.617,39.567.672,-,189.748,42.151.037,2393617.0,39567672.0,,189748.0,42151037.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,84.016,84.016,,,,84016.0,84016.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",317.277,998.048,-,-,1.315.325,317277.0,998048.0,,,1315325.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,2.631,-,-,2.631,,2631.0,,,2631.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,31.194,2.125.297,-,116.779,2.273.270,31194.0,2125297.0,,116779.0,2273270.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,2.909.799,103.276.383,-,616.995,106.803.177,2909799.0,103276383.0,,616995.0,106803177.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,5.039,(2.252.034),3.764,127.973,(2.115.258),5039.0,-2252034.0,3764.0,127973.0,-2115258.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(19.809),1.685.316,-,(54.271),1.611.236,-19809.0,1685316.0,,-54271.0,1611236.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(14.770),(566.718),3.764,73.702,(504.022),-14770.0,-566718.0,3764.0,73702.0,-504022.0
