row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",6,7.106.546,6.588.849,,6.0,7106546.0,6588849.0
II.,A > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),7,36.710.770,21.718.717,,7.0,36710770.0,21718717.0
III.,A > III.,III.,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,8,61.865.173,67.097.936,,8.0,61865173.0,67097936.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,39.849.011,47.523.973,,,39849011.0,47523973.0
2.,A > 2.,2.,Cho vay các TCTD khác,,22.076.457,19.574.966,,,22076457.0,19574966.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại các TCTD khác và cho vay các TCTD khác,9,(60.295),(1.003),,9.0,-60295.0,-1003.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,10,10.016.115,8.872.709,,10.0,10016115.0,8872709.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,10.086.026,8.903.682,,,10086026.0,8903682.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(69.911),(30.973),,,-69911.0,-30973.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,11,-,101.882,,11.0,,101882.0
VI.,A > VI.,VI.,Cho vay khách hàng,,713.633.464,590.917.428,,,713633464.0,590917428.0
1.,A > 1.,1.,Cho vay khách hàng,12,723.697.408,598.434.475,,12.0,723697408.0,598434475.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,13,(10.063.944),(7.517.047),,13.0,-10063944.0,-7517047.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,14,144.412.972,121.564.774,,14.0,144412972.0,121564774.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,113.657.155,87.421.277,,,113657155.0,87421277.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,36.823.521,36.848.571,,,36823521.0,36848571.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(6.067.704),(2.705.074),,,-6067704.0,-2705074.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",,4.329.801,5.250.679,,,4329801.0,5250679.0
1.,A > 1.,1.,Vốn góp liên doanh,15.1,3.297.900,4.302.995,,151.0,3297900.0,4302995.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,15.2,696.220,568.171,,152.0,696220.0,568171.0
3.,A > 3.,3.,"Góp vốn, đầu tư dài hạn khác",,457.466,539.162,,,457466.0,539162.0
4.,A > 4.,4.,Dự phòng giám giá đầu tư dài hạn,,(121.785),(159.649),,,-121785.0,-159649.0
IX.,A > IX.,IX.,Tài sản cố định,16,9.721.944,8.535.310,,16.0,9721944.0,8535310.0
1.,A > 1.,1.,Tài sản cố định hữu hình,16.1,5.373.497,4.554.885,,161.0,5373497.0,4554885.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,9.605.942,8.129.132,,,9605942.0,8129132.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(4.232.445),(3.574.247),,,-4232445.0,-3574247.0
2.,A > 2.,2.,Tài sản cố định vô hình,16.2,4.348.447,3.980.425,,162.0,4348447.0,3980425.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,5.283.678,4.681.424,,,5283678.0,4681424.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(935.231),(700.999),,,-935231.0,-700999.0
X.,A > X.,X.,Tài sản Có khác,17,18.607.365,19.858.656,,17.0,18607365.0,19858656.0
1.,A > 1.,1.,Các khoản phải thu,,5.784.931,5.132.165,,,5784931.0,5132165.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,9.229.160,9.386.292,,,9229160.0,9386292.0
3.,A > 3.,3.,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,7.467,-,,,7467.0,
4.,A > 4.,4.,Tài sản có khác,,3.739.195,5.489.966,,,3739195.0,5489966.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,,(153.388),(149.767),,,-153388.0,-149767.0
,,,TỔNG TÀI SẢN,,1.006.404.150,850.506.940,,,1006404150.0,850506940.0
