row_label_raw,row_label_full,col_0,Dự phòng cụ thể,Dự phòng chung,Tổng cộng,numeric__Dự phòng cụ thể,numeric__Dự phòng chung,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,3.276.160,4.240.887,7.517.047,3276160.0,4240887.0,7517047.0
Trích lập dự phòng rủi ro trong năm,Trích lập dự phòng rủi ro trong năm,Trích lập dự phòng rủi ro trong năm,4.041.181,896.062,4.937.243,4041181.0,896062.0,4937243.0
Sử dụng để tất toán nợ đã bán cho VAMC,Sử dụng để tất toán nợ đã bán cho VAMC,Sử dụng để tất toán nợ đã bán cho VAMC,(141.194),-,(141.194),-141194.0,,-141194.0
Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,(2.547.205),-,(2.547.205),-2547205.0,,-2547205.0
Tăng khác trong năm,Tăng khác trong năm,Tăng khác trong năm,209.164,88.889,298.053,209164.0,88889.0,298053.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.838.106,5.225.838,10.063.944,4838106.0,5225838.0,10063944.0
