row_label_raw,row_label_full,col_0,Qua hạn,Không chịu rủi ro lãi suất do định giả lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Kỳ thay đổi lãi suất_6,numeric__Qua hạn,numeric__Không chịu rủi ro lãi suất do định giả lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Kỳ thay đổi lãi suất_6
,,,Qua hạn,Không chịu rủi ro lãi suất do định giả lại,Dên 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6 -12 tháng,Từ 1-5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đã quý","Tài sản > Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",-,7.106.546,-,-,-,-,-,-,7.106.546,,7106546.0,,,,,,,7106546.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,36.710.770,-,-,-,-,-,36.710.770,,,36710770.0,,,,,,36710770.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),-,-,31.032.881,5.026.728,16.014.028,4.509.689,5.012.958,329.184,61.925.468,,,31032881.0,5026728.0,16014028.0,4509689.0,5012958.0,329184.0,61925468.0
Chứng khoán kính doanh (*),Tài sản > Chứng khoán kính doanh (*),Chứng khoán kính doanh (*),-,310.098,-,458.646,1.203.566,8.113.716,-,-,10.086.026,,310098.0,,458646.0,1203566.0,8113716.0,,,10086026.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),28.418.173,-,236.408.089,195.384.992,155.757.336,63.886.693,22.207.280,21.634.845,723.697.408,28418173.0,,236408089.0,195384992.0,155757336.0,63886693.0,22207280.0,21634845.0,723697408.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),1.060.000,6.059.628,5.698.591,4.239.712,11.938.798,2.639.666,61.663.513,57.180.768,150.480.676,1060000.0,6059628.0,5698591.0,4239712.0,11938798.0,2639666.0,61663513.0,57180768.0,150480676.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,4.451.586,-,-,-,-,-,-,4.451.586,,4451586.0,,,,,,,4451586.0
