row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hiện tại,Số cuối năm > Tỷ phần nằm giữ,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hiện tại,Số đầu năm > Tỷ phần nằm giữ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hiện tại,numeric__Số cuối năm > Tỷ phần nằm giữ,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hiện tại,numeric__Số đầu năm > Tỷ phần nằm giữ
,,,Triệu VND,Triệu VND,%,Triệu VND,Triệu VND,%,,,,,,
Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,,,,,,
Ngân hàng Liên doanh VID Public,Đầu tư vào các TCTD > Ngân hàng Liên doanh VID Public,Ngân hàng Liên doanh VID Public,-,-,-,476.235,874.107,"50,00",,,,476235.0,874107.0,50.0
Ngân hàng Liên doanh Lào Việt,Đầu tư vào các TCTD > Ngân hàng Liên doanh Lào Việt,Ngân hàng Liên doanh Lào Việt,1.294.466,1.411.316,"65,00",1.294.466,1.505.809,"65,00",1294466.0,1411316.0,65.0,1294466.0,1505809.0,65.0
Ngân hàng Liên doanh Việt Nga,Đầu tư vào các TCTD > Ngân hàng Liên doanh Việt Nga,Ngân hàng Liên doanh Việt Nga,1.505.054,1.421.754,"50,00",1.505.054,1.397.510,"50,00",1505054.0,1421754.0,50.0,1505054.0,1397510.0,50.0
Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,Đầu tư vào TCKT,,,,,,
Công ty Liên doanh Tháp BIDV,Đầu tư vào TCKT > Công ty Liên doanh Tháp BIDV,Công ty Liên doanh Tháp BIDV,115.089,165.593,"55,00",115.089,156.353,"55,00",115089.0,165593.0,55.0,115089.0,156353.0,55.0
Công ty Liên doanh Quản lý Dầu tư BIDV - Vietnam Partners,Đầu tư vào TCKT > Công ty Liên doanh Quản lý Dầu tư BIDV - Vietnam Partners,Công ty Liên doanh Quản lý Dầu tư BIDV - Vietnam Partners,12.482,24.688,"50,00",12.482,27.199,"50,00",12482.0,24688.0,50.0,12482.0,27199.0,50.0
Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife,Đầu tư vào TCKT > Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife,Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife,400.000,274.549,"37,55",400.000,342.017,"37,55",400000.0,274549.0,37.55,400000.0,342017.0,37.55
,,,3.327.091,3.297.900,,3.803.326,4.302.995,,3327091.0,3297900.0,,3803326.0,4302995.0,
