row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Vốn khác,Quỹ khác thuộc Vốn chủ sở hữu,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác,numeric__Quỹ khác thuộc Vốn chủ sở hữu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,34.187.153,30.306,1.636.596,819.564,1.683,54.317,6.245,(42.645),4.256.503,1.385.738,42.335.460,34187153.0,30306.0,1636596.0,819564.0,1683.0,54317.0,6245.0,-42645.0,4256503.0,1385738.0,42335460.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,603.194,304.475,2.376,32.777,2.889,68.152,6.137.551,266.790,7.418.204,,,603194.0,304475.0,2376.0,32777.0,2889.0,68152.0,6137551.0,266790.0,7418204.0
- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,-,-,-,-,-,-,-,-,6.137.551,91.305,6.228.856,,,,,,,,,6137551.0,91305.0,6228856.0
- Trích Quỹ trong năm,- Trích Quỹ trong năm,- Trích Quỹ trong năm,-,-,593.912,299.623,2.376,-,2.889,-,-,-,898.800,,,593912.0,299623.0,2376.0,,2889.0,,,,898800.0
- Công ty con trả cổ tức bằng cổ phiếu,- Công ty con trả cổ tức bằng cổ phiếu,- Công ty con trả cổ tức bằng cổ phiếu,-,-,-,-,-,32.777,-,-,-,-,32.777,,,,,,32777.0,,,,,32777.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con,-,-,-,-,-,-,-,68.010,-,-,68.010,,,,,,,,68010.0,,,68010.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,9.282,4.852,-,-,-,142,-,175.485,189.761,,,9282.0,4852.0,,,,142.0,,175485.0,189761.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,(440),-,-,-,-,(137.076),(5.423.123),(48.776),(5.609.415),,,-440.0,,,,,-137076.0,-5423123.0,-48776.0,-5609415.0
"- Chênh lệch tỷ giá do chuyển đổi BCTC của các đơn vị liên doanh, liên kết","- Chênh lệch tỷ giá do chuyển đổi BCTC của các đơn vị liên doanh, liên kết","- Chênh lệch tỷ giá do chuyển đổi BCTC của các đơn vị liên doanh, liên kết",-,-,-,-,-,-,-,(111.986),-,-,(111.986),,,,,,,,-111986.0,,,-111986.0
- Chênh lệch tỷ giá được thực hiện khi thời vốn khởi Ngân hàng Liên doanh VID Public,- Chênh lệch tỷ giá được thực hiện khi thời vốn khởi Ngân hàng Liên doanh VID Public,- Chênh lệch tỷ giá được thực hiện khi thời vốn khởi Ngân hàng Liên doanh VID Public,-,-,-,-,-,-,-,(25.090),-,-,(25.090),,,,,,,,-25090.0,,,-25090.0
- Trích Quỹ trong năm,- Trích Quỹ trong năm,- Trích Quỹ trong năm,-,-,-,-,-,-,-,-,(898.800),-,(898.800),,,,,,,,,-898800.0,,-898800.0
- Trích Quỹ lighten thưởng phúc lợi,- Trích Quỹ lighten thưởng phúc lợi,- Trích Quỹ lighten thưởng phúc lợi,-,-,-,-,-,-,-,-,(1.529.657),(7.840),(1.537.497),,,,,,,,,-1529657.0,-7840.0,-1537497.0
- Xử lý tồn thất liên quan đến hoạt động thể,- Xử lý tồn thất liên quan đến hoạt động thể,- Xử lý tồn thất liên quan đến hoạt động thể,-,-,(440),-,-,-,-,-,-,-,(440),,,-440.0,,,,,,,,-440.0
- Quyết định trả cổ tức trong năm,- Quyết định trả cổ tức trong năm,- Quyết định trả cổ tức trong năm,-,-,-,-,-,-,-,-,(2.905.908),(40.936),(2.946.844),,,,,,,,,-2905908.0,-40936.0,-2946844.0
- Công ty con trả cổ tức bằng cổ phiếu,- Công ty con trả cổ tức bằng cổ phiếu,- Công ty con trả cổ tức bằng cổ phiếu,-,-,-,-,-,-,-,-,(32.777),-,(32.777),,,,,,,,,-32777.0,,-32777.0
- Các khoản giảm khác,- Các khoản giảm khác,- Các khoản giảm khác,-,-,-,-,-,-,-,-,(55.981),-,(55.981),,,,,,,,,-55981.0,,-55981.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,34.187.153,30.306,2.239.350,1.124.039,4.059,87.094,9.134,(111.569),4.970.931,1.603.752,44.144.249,34187153.0,30306.0,2239350.0,1124039.0,4059.0,87094.0,9134.0,-111569.0,4970931.0,1603752.0,44144249.0
