row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị dụng cụquản lý,TSCĐ khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị dụng cụquản lý,numeric__TSCĐ khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,4.055.616,2.957.683,947.129,98.794,69.910,8.129.132,4055616.0,2957683.0,947129.0,98794.0,69910.0,8129132.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,250.661,390.425,230.088,6.033,20.372,897.579,250661.0,390425.0,230088.0,6033.0,20372.0,897579.0
Dầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Dầu tư XDCB hoàn thành,Dầu tư XDCB hoàn thành,343.180,125.126,23.389,13.153,1.252,506.100,343180.0,125126.0,23389.0,13153.0,1252.0,506100.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.031),(51.710),(31.893),(4.108),(1.587),(98.329),-9031.0,-51710.0,-31893.0,-4108.0,-1587.0,-98329.0
Tăng/(Giảm) khác,Nguyên giá TSCĐ hữu hình > Tăng/(Giảm) khác,Tăng/(Giảm) khác,10.330,130.178,31.328,5.828,(6.204),171.460,10330.0,130178.0,31328.0,5828.0,-6204.0,171460.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.650.756,3.551.702,1.200.041,119.700,83.743,9.605.942,4650756.0,3551702.0,1200041.0,119700.0,83743.0,9605942.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,890.725,2.005.130,593.377,51.183,33.832,3.574.247,890725.0,2005130.0,593377.0,51183.0,33832.0,3574247.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,200.019,328.825,93.165,21.848,16.718,660.575,200019.0,328825.0,93165.0,21848.0,16718.0,660575.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.577),(49.805),(29.628),(2.692),(1.299),(90.001),-6577.0,-49805.0,-29628.0,-2692.0,-1299.0,-90001.0
Tăng/(Giảm) khác,Giá trị hao mòn lũy kế > Tăng/(Giảm) khác,Tăng/(Giảm) khác,9.640,59.509,12.451,7.819,(1.795),87.624,9640.0,59509.0,12451.0,7819.0,-1795.0,87624.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.093.807,2.343.659,669.365,78.158,47.456,4.232.445,1093807.0,2343659.0,669365.0,78158.0,47456.0,4232445.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,3.164.891,952.553,353.752,47.611,36.078,4.554.885,3164891.0,952553.0,353752.0,47611.0,36078.0,4554885.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,3.556.949,1.208.043,530.676,41.542,36.287,5.373.497,3556949.0,1208043.0,530676.0,41542.0,36287.0,5373497.0
