row_label_raw,row_label_full,Trừ: Tiền và các khoản tương đương tiền,862.951.437.491,53.693.609.626,numeric__862.951.437.491,numeric__53.693.609.626
Nợ thuần,Nợ thuần,Nợ thuần,-,-,,
Vốn chủ sở hữu,Nợ thuần > Vốn chủ sở hữu,Vốn chủ sở hữu,6.042.706.489.334,3.390.872.753.466,6042706489334.0,3390872753466.0
Tỷ lệ nợ trên vốn chủ sở hữu,Tỷ lệ nợ trên vốn chủ sở hữu,Tỷ lệ nợ trên vốn chủ sở hữu,-,-,,
