row_label_raw,row_label_full,"Trích Quỹ khen thưởng, phúc lợi",-,-_1,(8.924.654.931),(8.924.654.931)_1,numeric__-,numeric__-_1,numeric__(8.924.654.931),numeric__(8.924.654.931)_1
Số dư tại 31/12/2022,Số dư tại 31/12/2022,Số dư tại 31/12/2022,2.573.399.850.000,-,728.434.615.450,3.301.834.465.450,2573399850000.0,,728434615450.0,3301834465450.0
Tăng vốn trong năm nay (i),Tăng vốn trong năm nay (i),Tăng vốn trong năm nay (i),2.573.387.750.000,-,-,2.573.387.750.000,2573387750000.0,,,2573387750000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,106.043.823.858,106.043.823.858,,,106043823858.0,106043823858.0
Giảm khác (i),Giảm khác (i),Giảm khác (i),-,(433.150.000),-,(433.150.000),,-433150000.0,,-433150000.0
Trích Quỹ đầu tư phát triển (ii),Trích Quỹ đầu tư phát triển (ii),Trích Quỹ đầu tư phát triển (ii),-,-,(13.582.343.995),(13.582.343.995),,,-13582343995.0,-13582343995.0
"Trích Quỹ khen thưởng, phúc lợi (ii)","Trích Quỹ khen thưởng, phúc lợi (ii)","Trích Quỹ khen thưởng, phúc lợi (ii)",-,-,(27.164.687.990),(27.164.687.990),,,-27164687990.0,-27164687990.0
Số dư tại 31/12/2023,Số dư tại 31/12/2023,Số dư tại 31/12/2023,5.146.787.600.000,(433.150.000),793.731.407.323,5.940.085.857.323,5146787600000.0,-433150000.0,793731407323.0,5940085857323.0
