row_label_raw,row_label_full,Lãi phải thu,29.847.083.943,-,20.320.020.551,-_1,numeric__29.847.083.943,numeric__-,numeric__20.320.020.551,numeric__-_1
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,12.509.139.044,-,7.329.623.288,-,12509139044.0,,7329623288.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,12.068.473.204,-,12.990.397.263,-,12068473204.0,,12990397263.0,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An,596.821.918,-,-,-,596821918.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân,4.672.649.777,-,-,-,4672649777.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,682.372.976.357,-,560.389.444.520,-,682372976357.0,,560389444520.0,
Tiền thỏa thuận đền bù dự án Khu biệt thự cao cấp Sonasea Residences (4),Tiền thỏa thuận đền bù dự án Khu biệt thự cao cấp Sonasea Residences (4),Tiền thỏa thuận đền bù dự án Khu biệt thự cao cấp Sonasea Residences (4),612.727.646.590,-,278.616.788.343,-,612727646590.0,,278616788343.0,
Thuế TNCN phải thu CBCNV,Thuế TNCN phải thu CBCNV,Thuế TNCN phải thu CBCNV,2.071.021.535,-,1.531.559.987,-,2071021535.0,,1531559987.0,
Công ty CP Đầu tư và Phát triển du lịch Vân Đôn (5),Công ty CP Đầu tư và Phát triển du lịch Vân Đôn (5),Công ty CP Đầu tư và Phát triển du lịch Vân Đôn (5),59.346.000.000,-,270.000.000.000,-,59346000000.0,,270000000000.0,
Công ty CP Đầu tư và Phát triển Nha Trang (6),Công ty CP Đầu tư và Phát triển Nha Trang (6),Công ty CP Đầu tư và Phát triển Nha Trang (6),5.940.000.000,-,5.790.000.000,-,5940000000.0,,5790000000.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,2.288.308.232,-,4.451.096.190,-,2288308232.0,,4451096190.0,
Dự nợ phải trả khác,Dự nợ phải trả khác,Dự nợ phải trả khác,-,-,92.500.000,,,,92500000.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Phải thu khác,Phải thu khác,Phải thu khác,1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Ban đền bù giải phóng mặt bằng Quốc Oai (7),Ban đền bù giải phóng mặt bằng Quốc Oai (7),Ban đền bù giải phóng mặt bằng Quốc Oai (7),1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
