row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2023,Đơn vị tính: VND 01/01/2023,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023,numeric__Đơn vị tính: VND 01/01/2023
A TÀI SẢN NGẮN HẠN,A TÀI SẢN NGẮN HẠN,A TÀI SẢN NGẮN HẠN,100,,3.290.488.142.009,1.503.572.177.248,100.0,,3290488142009.0,1503572177248.0
I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,110,V.1.,862.951.437.491,53.693.609.626,110.0,,862951437491.0,53693609626.0
1 Tiền,1 Tiền,1 Tiền,111,,12.351.437.491,12.678.283.351,111.0,,12351437491.0,12678283351.0
2 Các khoản tương đương tiền,2 Các khoản tương đương tiền,2 Các khoản tương đương tiền,112,,850.600.000.000,41.015.326.275,112.0,,850600000000.0,41015326275.0
II Đầu tư tài chính ngắn hạn,II Đầu tư tài chính ngắn hạn,II Đầu tư tài chính ngắn hạn,120,,1.022.099.000.000,2.500.000.000,120.0,,1022099000000.0,2500000000.0
1 Đầu tư nắm giữ đến ngày đáo hạn,1 Đầu tư nắm giữ đến ngày đáo hạn,1 Đầu tư nắm giữ đến ngày đáo hạn,123,V.2.,1.022.099.000.000,2.500.000.000,123.0,,1022099000000.0,2500000000.0
III Các khoản phải thu ngắn hạn,III Các khoản phải thu ngắn hạn,III Các khoản phải thu ngắn hạn,130,,1.092.867.815.710,911.389.287.781,130.0,,1092867815710.0,911389287781.0
1 Phải thu ngắn hạn của khách hàng,1 Phải thu ngắn hạn của khách hàng,1 Phải thu ngắn hạn của khách hàng,131,V.3.,52.482.730.994,79.152.799.213,131.0,,52482730994.0,79152799213.0
2 Trà trước cho người bán ngắn hạn,2 Trà trước cho người bán ngắn hạn,2 Trà trước cho người bán ngắn hạn,132,V.4.,48.982.815.114,29.166.409.195,132.0,,48982815114.0,29166409195.0
3 Phải thu về cho vay ngắn hạn,3 Phải thu về cho vay ngắn hạn,3 Phải thu về cho vay ngắn hạn,135,V.5.,264.720.000.000,207.500.000.000,135.0,,264720000000.0,207500000000.0
4 Phải thu ngắn hạn khác,4 Phải thu ngắn hạn khác,4 Phải thu ngắn hạn khác,136,V.6.,734.921.115.952,603.610.925.723,136.0,,734921115952.0,603610925723.0
5 Dự phòng phải thu ngắn hạn khó đòi,5 Dự phòng phải thu ngắn hạn khó đòi,5 Dự phòng phải thu ngắn hạn khó đòi,137,,(8.238.846.350),(8.040.846.350),137.0,,-8238846350.0,-8040846350.0
IV Hàng tồn kho,IV Hàng tồn kho,IV Hàng tồn kho,140,V.8.,301.070.905.176,532.788.745.571,140.0,,301070905176.0,532788745571.0
1 Hàng tồn kho,1 Hàng tồn kho,1 Hàng tồn kho,141,,301.070.905.176,532.788.745.571,141.0,,301070905176.0,532788745571.0
V Tài sản ngắn hạn khác,V Tài sản ngắn hạn khác,V Tài sản ngắn hạn khác,150,,11.498.983.632,3.200.534.270,150.0,,11498983632.0,3200534270.0
1 Chi phí trả trước ngắn hạn,1 Chi phí trả trước ngắn hạn,1 Chi phí trả trước ngắn hạn,151,V.13.,2.686.994.133,2.555.464.030,151.0,,2686994133.0,2555464030.0
2 Thuế GTGT được khấu trừ,2 Thuế GTGT được khấu trừ,2 Thuế GTGT được khấu trừ,152,,8.079.453.149,-,152.0,,8079453149.0,
3 Thuế và các khoản khác phải thu Nhà nước,3 Thuế và các khoản khác phải thu Nhà nước,3 Thuế và các khoản khác phải thu Nhà nước,153,V.16.,732.536.350,645.070.240,153.0,,732536350.0,645070240.0
B TÀI SẢN DÀI HẠN,B TÀI SẢN DÀI HẠN,B TÀI SẢN DÀI HẠN,200,,3.192.906.102.070,2.354.789.359.852,200.0,,3192906102070.0,2354789359852.0
I Các khoản phải thu dài hạn,I Các khoản phải thu dài hạn,I Các khoản phải thu dài hạn,210,,1.692.084.000,1.692.084.000,210.0,,1692084000.0,1692084000.0
1 Phải thu dài hạn khác,1 Phải thu dài hạn khác,1 Phải thu dài hạn khác,216,V.6.,1.692.084.000,1.692.084.000,216.0,,1692084000.0,1692084000.0
II Tài sản cố định,II Tài sản cố định,II Tài sản cố định,220,,20.776.096.123,22.253.428.139,220.0,,20776096123.0,22253428139.0
1 Tài sản cố định hữu hình,1 Tài sản cố định hữu hình,1 Tài sản cố định hữu hình,221,V.9.,19.781.302.212,21.626.187.993,221.0,,19781302212.0,21626187993.0
