row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,"Thiết bị, dụng cụquản lý",Tài sản cố định khác,Đơn vị tính: VNDCộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản cố định khác,numeric__Đơn vị tính: VNDCộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư ngày 01/01/2023,Nguyên giá > Số dư ngày 01/01/2023,Số dư ngày 01/01/2023,27.031.710.641,7.761.018.182,3.254.204.728,1.605.917.005,39.652.850.556,27031710641.0,7761018182.0,3254204728.0,1605917005.0,39652850556.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,34.500.000,-,34.500.000,,,34500000.0,,34500000.0
Số dư ngày 31/12/2023,Nguyên giá > Số dư ngày 31/12/2023,Số dư ngày 31/12/2023,27.031.710.641,7.761.018.182,3.288.704.728,1.605.917.005,39.687.350.556,27031710641.0,7761018182.0,3288704728.0,1605917005.0,39687350556.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,
Số dư ngày 01/01/2023,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2023,Số dư ngày 01/01/2023,8.191.554.075,5.161.905.994,3.120.935.489,1.552.267.005,18.026.662.563,8191554075.0,5161905994.0,3120935489.0,1552267005.0,18026662563.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,791.373.384,970.127.268,106.785.129,11.100.000,1.879.385.781,791373384.0,970127268.0,106785129.0,11100000.0,1879385781.0
Số dư ngày 31/12/2023,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2023,Số dư ngày 31/12/2023,8.982.927.459,6.132.033.262,3.227.720.618,1.563.367.005,19.906.048.344,8982927459.0,6132033262.0,3227720618.0,1563367005.0,19906048344.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Tại ngày 01/01/2023,Giá trị còn lại > Tại ngày 01/01/2023,Tại ngày 01/01/2023,18.840.156.566,2.599.112.188,133.269.239,53.650.000,21.626.187.993,18840156566.0,2599112188.0,133269239.0,53650000.0,21626187993.0
Tại ngày 31/12/2023,Giá trị còn lại > Tại ngày 31/12/2023,Tại ngày 31/12/2023,18.048.783.182,1.628.984.920,60.984.110,42.550.000,19.781.302.212,18048783182.0,1628984920.0,60984110.0,42550000.0,19781302212.0
