row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","31/12/2023 > Giá gốc > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","31/12/2023 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","01/01/2023 > Giá gốc > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","01/01/2023 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__31/12/2023 > Giá gốc > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__31/12/2023 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__01/01/2023 > Giá gốc > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__01/01/2023 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi"
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,2.798.846.350,-,2.798.846.350,198.000.000,2798846350.0,,2798846350.0,198000000.0
Trần Mạnh Hùng,Trần Mạnh Hùng,Trần Mạnh Hùng,220.000.000,-,220.000.000,66.000.000,220000000.0,,220000000.0,66000000.0
Trần Phương Chinh,Trần Phương Chinh,Trần Phương Chinh,440.000.000,-,440.000.000,132.000.000,440000000.0,,440000000.0,132000000.0
Công ty CP Viễn thông di động Toàn Cầu,Công ty CP Viễn thông di động Toàn Cầu,Công ty CP Viễn thông di động Toàn Cầu,51.000.000,-,51.000.000,-,51000000.0,,51000000.0,
Công ty CP Fecon,Công ty CP Fecon,Công ty CP Fecon,2.087.846.350,-,2.087.846.350,-,2087846350.0,,2087846350.0,
Phải thu khác,Phải thu khác,Phải thu khác,5.100.000.000,-,5.100.000.000,-,5100000000.0,,5100000000.0,
Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,5.100.000.000,-,5.100.000.000,-,5100000000.0,,5100000000.0,
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,340.000.000,-,340.000.000,-,340000000.0,,340000000.0,
Công ty CP Tư vấn mỏ địa chất,Công ty CP Tư vấn mỏ địa chất,Công ty CP Tư vấn mỏ địa chất,340.000.000,-,340.000.000,-,340000000.0,,340000000.0,
Cộng,Cộng,Cộng,8.238.846.350,-,8.238.846.350,198.000.000,8238846350.0,,8238846350.0,198000000.0
